,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,dxy_cr,ixic_f_cr,bond_kor_10_cr,bond_kor_2_cr,kosdaq_cr,kospi_cr,krw_cr,ixic_cr,spx_f_cr,sox_cr,spx_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,vix_cr,wti_cr,spsy_cr,spny_cr,spxhc_cr,splrcd_cr,splrci_cr,splrcu_cr,splrcs_cr,splrct_cr,splrcl_cr,splrcm_cr,ixbk_cr,ixfn_cr,ixid_cr,ixis_cr,ixk_cr,ixtr_cr,ixut_cr,nbi_cr,bkx_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,dxy_cr_2,ixic_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,ixic_cr_2,spx_f_cr_2,sox_cr_2,spx_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,vix_cr_2,wti_cr_2,spsy_cr_2,spny_cr_2,spxhc_cr_2,splrcd_cr_2,splrci_cr_2,splrcu_cr_2,splrcs_cr_2,splrct_cr_2,splrcl_cr_2,splrcm_cr_2,ixbk_cr_2,ixfn_cr_2,ixid_cr_2,ixis_cr_2,ixk_cr_2,ixtr_cr_2,ixut_cr_2,nbi_cr_2,bkx_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,167.72269,2.48451,-51.28226,-0.6232,-1.07503,-2.27487,-1.07646,-1.0,0.52273,-1.0,-0.744,10.42857,-0.47,-0.46,0.15,-0.05,4.46,4.68,-2.9,-1.13,0.56,-0.13,-0.11,0.75,-0.1,1.66,5.3,10.99,-0.61,1.82,1.55,2.29,-1.21,-0.33,0.45,-1.05,-0.21,-0.48,0.35,-1.24,3.77,-0.21,-0.37,0.62,-0.14,0.07,0.67,-0.04,3.25,-0.01099,-0.03351,-0.03142,-0.04189,-0.28504,4.71534,304.28571,0.32914,-0.5992,-1.27586,91.7619,20.0,-1.0,-1.96403,-1.0,-0.08811,-0.12088,-1.53039,-1.50511,0.06233,-3.17497,7.21694,9.44606,-4.97838,-2.29858,0.62297,-3.46841,-2.02226,-2.49339,-2.03378,4.79078,15.0,17.44186,15.96689,2.78864,0.27841,2.21557,-1.90929,-2.96277,-0.51014,-1.09991,-0.23876,-3.59662,-2.59624,-1.31601,3.21399,-3.23906,-3.29612,-0.97673,-3.905,-2.00966,-0.65812,-3.89833,2.1313,-0.00917,-0.00725,-0.02602,-0.03663,0.93974,3,1,0,0,0,0
2022-01-10,-0.91543,-1.17481,-0.29527,-0.21599,35.67188,-0.95149,0.53968,-1.0,-0.37313,-1.0,-0.95652,-0.5375,-0.01,-0.04,-0.62,-1.13,-0.93,0.96,1.52,1.18,-0.61,-0.96,-0.42,-2.88,-0.41,2.16,-0.4,-4.95,-4.33,-0.56,1.15,1.45,-0.45,-1.65,-0.03,0.75,0.16,-1.01,-0.31,-0.09,0.67,-0.13,-0.99,0.37,-0.94,-0.55,-1.58,-0.93,1.6,-0.02778,-0.03285,-0.01336,0.0038,-0.36865,13.26891,-1.60913,-36.43548,-0.70458,-3.75147,-1.06185,-1.11772,-1.0,-0.04545,-1.0,-0.98887,4.28571,-0.48191,-0.50701,-0.46792,-1.17655,3.49474,5.68879,-1.43222,0.03114,-0.04757,-1.08787,-0.52744,-2.15342,-0.50101,3.82353,4.81928,5.49451,-4.91637,1.2521,2.71133,3.77521,-1.65817,-1.97362,0.42366,-0.30645,-0.05197,-1.48715,0.03842,-1.32234,4.46477,-0.33968,-1.35513,0.99132,-1.08362,-0.47445,-0.92374,-0.9712,4.9002,-0.03846,-0.06526,-0.04436,-0.03825,-0.54861,4,0,0,0,0,0
2022-01-11,-2.73852,-1.58011,-1.58398,-0.59088,-0.99617,-23.21164,1.69588,-1.0,4.41667,-1.0,19.4,25.62162,-0.45,-0.43,0.28,0.17,1.1,0.63,-1.49,-0.95,0.03,0.05,-0.12,0.24,-0.14,-0.59,3.25,3.12,3.41,-0.94,-0.3,-0.27,1.04,-0.6,-1.15,-0.64,-0.73,0.1,0.02,-0.99,-0.55,-0.96,-0.47,0.09,0.36,-1.76,-0.18,1.05,-0.22,-0.00381,0.0,0.00193,-0.00758,-0.01251,-1.14703,-0.89859,-1.41155,-0.67925,-0.85938,-2.07752,3.15079,-1.0,2.39552,-1.0,-0.11304,11.3125,-0.46251,-0.47338,-0.34261,-0.95818,1.0989,0.63492,0.00816,0.21195,-0.57347,-0.91527,-0.53867,-2.65155,-0.54854,1.5625,2.746,-1.9802,-1.07089,-1.49594,0.84472,1.17815,0.57981,-2.23648,-1.17868,0.1098,-0.57416,-0.90865,-0.29106,-1.07894,0.11469,-1.08512,-1.4509,0.45725,-0.58735,-2.29546,-1.75908,0.10775,1.37493,-0.03148,-0.03285,-0.01145,-0.0038,-0.37655,0,0,0,0,0,0
2022-01-12,-1.96985,1.62558,-0.86906,-0.87307,-11.77778,-0.97404,-1.11281,-1.0,-1.33626,-1.0,-0.12963,-1.01421,0.51,0.49,-0.38,1.43,0.04,-0.79,-1.07,0.02,-0.48,1.41,0.92,1.84,0.92,-0.5,-1.1,28.28,-5.1,3.82,0.84,3.41,0.76,1.03,0.63,-0.92,-0.14,1.21,1.02,1.11,0.35,1.6,1.7,0.59,1.32,0.45,1.68,1.15,0.89,-0.00765,-0.00189,-0.01544,-0.01718,0.00134,0.6861,-2.52314,-1.07647,-0.94807,-1.04133,-1.57672,-1.30412,-1.0,-2.82143,-1.0,16.75556,-1.37838,0.05619,0.05816,-0.10447,1.60452,1.1396,-0.15873,-2.53628,-0.931,-0.44421,1.45656,0.79803,2.08412,0.77058,-1.07649,2.06897,32.29167,-1.86567,2.84294,0.53438,3.13529,1.80797,0.43339,-0.524,-1.55372,-0.87043,1.31455,1.04495,0.10871,-0.20595,0.63331,1.22426,0.67853,1.68207,-1.31694,1.49887,2.21451,0.66634,-0.01143,-0.00189,-0.01354,-0.02462,-0.01119,1,1,1,1,1,1
2022-01-13,-4.71044,-2.68366,10.55357,-45.03659,-1.07216,2.78899,20.16949,-1.0,-10.04575,-1.0,-0.93367,0.35714,0.11,0.09,-0.74,0.36,-2.29,-2.12,2.21,1.54,-0.54,0.23,0.24,0.66,0.28,0.31,3.87,-3.94,-4.29,1.67,0.04,0.19,-0.26,0.63,0.3,0.35,0.05,0.44,0.36,0.95,0.2,-0.29,0.43,-0.52,0.48,-0.06,-0.32,-1.52,0.5,-0.00771,0.0,0.0098,0.0233,-0.12644,2.59858,-5.42057,0.51286,-6.58978,-0.22222,-0.90162,-3.38815,-1.0,2.04176,-1.0,-0.94227,-1.01929,0.61396,0.57855,-1.1147,1.78915,-2.25443,-2.89169,1.11691,1.56353,-1.01583,1.64333,1.15824,2.51801,1.20035,-0.17094,2.78396,23.23232,-9.17525,5.55985,0.87719,3.60911,0.49817,1.67534,0.93105,-0.56811,-0.09729,1.6518,1.3827,2.07524,0.55168,1.31209,2.14023,0.07191,1.80278,0.3882,1.35707,-0.38155,1.39759,-0.0153,-0.00189,-0.00579,0.00573,-0.12527,2,0,0,0,0,0
2022-01-14,-1.16888,-1.15732,-1.22901,-0.9388,-45.42857,-7.73608,0.81105,-1.0,-0.34827,-1.0,1.13208,-3.0,-0.49,-0.47,-0.13,-2.5,-1.28,-2.11,-0.82,-0.35,0.02,-2.51,-1.36,-2.29,-1.42,-2.92,-3.03,0.0,15.27,-0.49,-0.41,-0.6,-1.63,-2.08,0.18,0.45,0.22,-2.65,-1.4,-0.81,0.38,-1.6,-2.52,-0.13,-2.9,0.23,-0.36,-2.26,0.19,0.02913,0.01134,0.00971,-0.0038,0.03919,-0.37338,-0.73512,-3.64583,-3.69512,2.20619,-26.52294,37.33898,-1.0,-6.89542,-1.0,-0.85857,-3.71429,-0.38177,-0.38474,-0.86802,-2.15242,-3.54125,-4.18654,1.37434,1.1857,-0.52,-2.28754,-1.12646,-1.6411,-1.1466,-2.57732,0.78829,-3.93701,10.32048,1.17764,-0.36888,-0.41473,-1.88803,-1.45702,0.47989,0.80899,0.2698,-2.22689,-1.04555,0.13884,0.58989,-1.88296,-2.09697,-0.64562,-2.43911,0.17176,-0.68173,-3.74327,0.69606,0.02119,0.01134,0.01961,0.01942,-0.09221,3,0,0,0,0,0
2022-01-17,18.25139,28.2237,3.22385,-13.53846,-2.02894,-0.82674,-1.02431,-1.0,-0.91796,-1.0,-1.29204,1.15789,-0.56,-0.54,0.4,0.68,2.34,3.98,-1.21,-1.36,0.33,0.59,0.06,2.33,0.08,5.43,8.27,5.74,-5.51,2.06,-1.01,2.44,-0.17,-0.45,-0.57,-0.65,0.19,0.89,0.53,-0.84,0.78,-0.49,0.09,-0.25,1.13,-0.77,-0.42,0.92,-0.31,-0.01887,-0.02617,-0.03846,-0.04,1.03369,-4.25115,-5.59752,-1.96728,-1.76738,44.71429,-2.16707,-1.04404,-1.0,-0.94653,-1.0,-1.62264,-5.31579,-1.04301,-1.00664,0.26338,-1.8348,1.02965,1.78668,-2.01144,-1.70094,0.35417,-1.9399,-1.304,-0.01538,-1.34353,2.34018,4.98375,5.7377,8.91033,1.56059,-1.4125,1.82759,-1.79748,-2.5167,-0.38946,-0.20083,0.4095,-1.78796,-0.87134,-1.63455,1.17064,-2.08267,-2.43274,-0.37784,-1.80812,-0.54123,-0.77896,-1.35617,-0.12221,0.00971,-0.01512,-0.02913,-0.04364,1.11339,4,0,0,0,0,0
2022-01-19,-1.75347,-1.93288,-2.85736,-1.31552,1.35429,0.7619,-5.09756,-1.0,-0.42857,-1.0,-1.64516,-2.8,-1.51,-1.58,0.5,-2.45,-0.58,-0.3,-1.46,-0.89,0.23,-2.6,-1.84,-4.44,-1.84,3.67,4.3,1.79,18.76,1.36,-2.3,0.4,-1.39,-1.92,-1.19,-1.2,-1.49,-2.49,-1.99,-1.32,-1.73,-1.4,-2.02,-1.86,-2.84,-2.14,-2.66,-3.85,-2.4,-0.00792,-0.03435,-0.016,-0.01397,-0.45522,-1.06133,-1.11631,-0.67057,-0.93396,0.2875,-0.92324,11.21818,-1.0,-1.91892,-1.0,6.27273,-0.89024,-2.06336,-1.53593,0.58842,-2.4193,3.61201,4.78723,-2.82585,-1.97404,0.22016,-2.02548,-1.83604,-2.2194,-1.7583,4.57334,7.94634,10.07752,12.21074,1.19289,-3.27974,2.85899,-1.55392,-2.35952,-1.75381,-1.84435,-1.3117,-1.62102,-1.4677,-2.14555,-0.95688,-1.88688,-1.93708,-2.1081,-1.74608,-2.90129,-3.06914,-2.96261,-2.70398,-0.03654,-0.02879,-0.016,-0.01984,-0.43487,1,0,0,0,0,0
2022-01-20,0.32578,-0.41941,-1.52951,-8.7541,-0.46602,6.48649,-0.90625,-1.0,-1.86765,-1.0,-1.15,2.77778,-0.96,-0.99,-0.23,-1.13,-0.67,-4.11,-1.06,-0.77,-0.38,-1.15,-1.03,-3.09,-0.97,-1.14,0.43,21.13,4.65,1.14,-1.65,-0.66,-0.44,-1.81,-1.1,0.46,0.68,-1.37,-0.19,-0.21,-2.24,-0.76,-1.18,-1.23,-1.18,-1.05,-0.77,-1.05,-3.13,-0.03194,-0.01581,-0.02033,-0.01417,-0.04666,-1.99893,-1.54162,-0.01652,1.44655,0.25714,12.19048,-1.38415,-1.0,-1.4958,-1.0,-0.90323,-7.8,-2.45925,-2.55136,0.26244,-3.55413,-1.24611,-4.40283,-2.50548,-1.65461,-0.1563,-3.71626,-2.85055,-7.39423,-2.78993,2.48756,4.78564,22.85714,24.28348,2.52121,-3.91094,-0.25611,-1.82333,-3.69106,-2.27664,-0.74823,-0.82062,-3.82418,-2.1784,-1.52905,-3.92577,-2.14804,-3.17794,-3.07096,-3.98987,-3.16937,-3.40892,-4.86002,-5.45887,-0.0396,-0.04962,-0.036,-0.02794,-0.48064,2,1,0,0,0,0
2022-01-21,-2.25463,-3.26657,0.76947,0.03171,-0.97727,-0.0,-1.22222,-1.0,-0.35593,-1.0,-0.55556,-0.35294,-0.89,-0.84,0.24,-1.28,0.83,2.75,2.66,0.72,0.36,-1.3,-1.09,-3.25,-1.1,-2.31,-2.29,4.65,7.3,-0.29,-0.63,-0.9,-0.58,-1.94,-1.24,0.14,-0.72,-1.33,-1.14,-1.43,-2.37,-0.51,-1.29,-0.21,-1.41,-1.25,-0.98,-1.13,-1.65,0.00206,0.00602,-0.00207,0.00205,-0.06034,-2.66336,-2.31595,-1.93694,-9.0,-0.98786,6.48649,-1.02083,-1.0,-1.55882,-1.0,-1.06667,1.44444,-1.8465,-1.82365,0.01045,-2.40037,0.15668,-1.47208,1.56366,-0.05446,-0.02264,-2.4325,-2.11102,-6.23759,-2.062,-3.41333,-1.81644,26.76056,12.28609,0.84876,-2.26818,-1.5507,-1.02181,-3.71318,-2.3255,0.60243,-0.04544,-2.68479,-1.3258,-1.64035,-4.55448,-1.25981,-2.45512,-1.43863,-2.57314,-2.28478,-1.73506,-2.16957,-4.73637,-0.02994,-0.00988,-0.02236,-0.01215,-0.10419,3,1,1,1,0,0
