,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,-0.17051,-0.87518,-1.62418,-0.85013,-0.3006,-10.22417,-0.55632,-2.86842,9.08808,1.0,-0.10745,-2.56364,-2.08533,-1.65806,-1.81429,-0.6279,45.4586,-3.8011,-4.88932,-1.04164,-9.18067,-2.11111,0.00775,-44.0,-0.01869,-0.0046,-0.00943,0.00234,-0.26274,-0.01176,0.01882,0.00719,0.01905,0.73366,3,1,0,0,0,0
2022-01-10,-0.92384,-1.64619,-0.88032,-0.02564,-0.85358,-0.77486,0.59317,1.49296,-1.42116,-1.225,-0.04665,0.18605,-0.93682,-1.08065,-1.0747,-0.85397,-0.89759,-3.07674,-0.29315,-5.65789,-5.2487,-1.45,-0.14908,-2.85455,0.02143,0.0,0.01667,0.00467,-0.33318,0.00234,-0.0046,0.00708,0.00703,-0.50838,4,0,0,0,0,0
2022-01-11,-8.51594,-0.74933,-11.07745,0.7491,-2.3633,-2.5595,-2.02485,-1.0,-2.80732,1.33333,0.0598,-0.40196,-1.57244,-1.16198,-2.20604,0.70424,-1.19962,-1.35111,-2.63276,-1.0,-0.23883,-1.525,0.01037,-0.2907,-0.00233,-0.00693,-0.02108,-0.02558,0.28798,0.01905,-0.00693,-0.00476,-0.02103,-0.14115,0,1,0,0,0,0
2022-01-12,-1.36128,-6.25857,-0.76639,-0.80522,-0.48901,-1.2375,-0.60473,-1.0,-1.81511,-1.0,-0.03177,-1.81967,1.71534,-2.31817,-3.35418,-0.65932,-1.69663,-0.62962,-1.40509,-1.0,0.47317,-1.0,0.02613,-1.4902,-0.02103,-0.01628,0.0,0.00477,-0.35206,-0.02331,-0.02309,-0.02108,-0.02093,-0.16547,1,1,0,0,0,0
2022-01-13,0.86486,-0.61845,-1.83739,-4.68941,1.27016,-2.19089,-0.53336,-inf,-0.90811,inf,0.08853,7.06,-1.67374,-3.00643,-1.19562,-1.71861,0.16003,-0.71716,-0.81555,-inf,-1.0749,-0.66667,0.05395,-7.60656,0.00955,0.00709,0.00718,0.00475,-0.02444,-0.01168,-0.0093,0.00718,0.00955,-0.3679,2,0,0,0,0,0
2022-01-14,-2.01288,1.72446,-6.63106,-2.17613,1.34399,4.67678,0.04684,202.0,18.9009,-1.0,-0.05574,-1.03474,-2.88889,0.03953,3.71539,3.33922,4.32124,-7.76041,-0.5115,-inf,0.82864,-1.0,0.02786,-1.28,0.0,0.0,-0.00238,-0.00709,0.06088,0.00955,0.00709,0.00478,-0.00238,0.03496,3,0,0,0,0,0
2022-01-17,-1.40013,0.63139,-0.52397,0.05052,-1.13034,-0.68173,-1.39874,-1.32759,-1.14848,-inf,-0.00815,12.42857,-0.59472,3.44464,-3.68058,-2.23554,-1.30551,0.80673,-1.41742,-67.5,-3.95495,-16.92857,-0.06343,-1.4665,-0.00946,-0.00939,-0.00952,-0.00476,-0.18539,-0.00946,-0.00939,-0.01188,-0.01182,-0.13579,4,0,0,0,0,0
2022-01-18,-9.10674,-2.94329,1.02145,-0.94073,-8.84496,0.64184,-33.43701,-0.79699,-3.43598,-1.01794,-0.03588,-0.43617,2.24375,-4.17026,-0.03772,-0.93773,0.02248,-0.47746,11.93407,-1.0665,-0.6383,inf,-0.04373,6.57143,-0.00477,-0.00948,-0.02644,-0.01914,0.78128,-0.01418,-0.01878,-0.03571,-0.02381,0.45106,0,0,0,0,0,0
2022-01-19,-0.45443,-0.59043,-0.20838,4.77068,-0.65563,-0.24127,-0.29955,-1.0,-0.199,-1.0,0.10659,-0.54717,-5.42279,-1.79592,0.60023,-0.65795,-3.70155,0.24571,-23.72047,-1.0,-2.95122,-1.0,0.06689,-0.74468,-0.01199,-0.01435,-0.00494,-0.0122,-0.19781,-0.01671,-0.0237,-0.03125,-0.0311,0.42893,1,0,0,0,0,0
2022-01-20,-0.09759,-0.35101,-0.00186,-1.21756,0.75323,2.68435,-0.5318,-inf,-0.00469,-inf,-0.14959,-3.875,-0.50767,-0.73419,-0.20985,-2.25544,-0.39625,1.79542,-0.67205,-25.88889,-0.20275,-16.25,-0.05895,-2.30189,-0.0267,-0.01214,-0.00744,-0.00988,-0.0963,-0.03837,-0.02632,-0.01235,-0.02195,-0.27506,2,1,1,0,0,0
2022-01-21,-0.31409,1.94325,-0.91517,9.70289,-0.17103,-0.36696,-0.9258,-1.00298,0.02041,-1.0,0.03474,-0.97826,-0.38103,0.91013,-0.91533,-3.32847,0.45337,1.33236,-0.96526,inf,0.01562,-1.0,-0.12005,-1.0625,0.0,-0.00491,-0.0025,0.00748,-0.13987,-0.0267,-0.01699,-0.00993,-0.00247,-0.2227,3,0,0,0,0,0
2022-01-24,0.38976,-0.94426,12.28901,-1.40689,-0.03998,0.63144,6.13716,-0.5,2.12615,-1.0,-0.37589,-29.0,-0.04674,-0.83594,0.12732,-5.35491,-0.20417,0.03277,-0.47039,-1.00149,2.18995,-1.0,-0.35421,-1.6087,-0.00499,-0.00741,-0.00501,-0.0099,0.13798,-0.00499,-0.01229,-0.0075,-0.00249,-0.02119,4,0,0,0,0,0
2022-01-25,-0.10776,26.12949,-1.17301,-6.20122,-0.83445,-0.31449,0.19602,71.0,0.10531,-inf,0.68612,-1.79762,0.24001,0.5122,-3.29915,1.11633,-0.84107,0.11837,7.53616,35.0,2.45538,-inf,0.05232,21.33333,-0.01003,-0.00498,-0.01763,-0.015,0.28239,-0.01496,-0.01235,-0.02256,-0.02475,0.45934,0,0,0,0,0,0
2022-01-26,1.2949,0.08867,-6.60181,-1.64926,14.71118,-0.22067,-1.81098,-3.45833,-0.67676,-0.97406,0.10165,-67.89552,1.04761,28.53497,-0.03082,2.37696,1.60103,-0.46576,-1.96995,-178.0,-0.64272,-inf,0.85751,52.35714,-0.00506,-0.015,-0.02564,-0.01269,0.78174,-0.01504,-0.0199,-0.04282,-0.0275,1.28489,1,0,0,0,0,0
2022-01-27,0.63851,1.14177,-0.31486,-1.48746,0.89168,-0.32468,-1.61563,-1.0,7.14325,-1.61111,0.80083,-0.95091,2.76021,1.33167,-4.83803,-0.68351,28.7205,-0.47371,-0.50073,-1.0,1.63224,-1.01585,0.98388,-4.28358,-0.01781,-0.01269,-0.00263,-0.02314,0.01482,-0.02278,-0.0275,-0.02821,-0.03553,0.80814,2,0,0,0,0,0
2022-01-28,-0.59639,-0.61075,-0.46594,-0.15481,-0.62257,1.03202,-0.76068,inf,-0.68775,-2.63636,-0.50218,-0.68182,-0.33868,-0.16631,-0.63409,-1.412,-0.28602,0.37226,-1.14733,-11.16384,1.5427,-0.0,-0.10351,-0.98438,-0.01554,-0.01542,-0.02111,-0.01842,-0.09981,-0.03308,-0.02792,-0.02368,-0.04113,-0.08647,3,1,1,1,1,0
2022-02-03,0.49905,1.11316,-1.58171,-0.15455,-0.18522,-0.419,-20.41809,-0.99944,-1.55742,2.55556,0.22526,3.15714,-0.39497,-0.17745,-1.31067,-0.28544,-0.69248,0.18061,-5.64716,inf,-1.17405,-6.81818,-0.39004,0.32273,-0.01842,-0.00522,-0.02965,0.01609,0.3195,-0.03368,-0.02057,-0.05013,-0.00263,0.1878,4,1,1,1,0,0
2022-02-04,-1.32026,-0.87224,2.17016,0.07041,-2.05267,-0.68734,0.01675,1117.0,-0.88338,-1.0,-0.24779,-1.21306,-1.48009,-0.73003,-2.84411,-0.09502,-1.8577,-0.81834,-20.74328,-0.37854,-1.06501,-1.0,-0.07835,-1.88571,0.03485,0.02625,0.06389,0.01055,-0.40846,0.01579,0.02089,0.03235,0.02681,-0.21947,3,0,0,0,0,0
2022-02-07,-4.79963,5.34495,-1.88928,-1.76703,-1.7776,2.4384,-1.02316,-0.88909,-14.85833,-1.0,0.17282,-1.24194,0.21687,-0.18939,-3.81915,-1.82103,-0.18145,0.07505,-1.02355,123.0,-2.61613,-1.0,-0.1178,-0.94845,-0.01295,-0.0179,-0.01828,-0.00783,0.00044,0.02145,0.00787,0.04444,0.00264,-0.4082,4,0,0,0,0,0
2022-02-08,0.08123,-0.3921,1.58675,7.08576,-0.60855,-0.11287,-0.31551,-0.99194,-1.16536,-1.0,-0.02194,12.0,-5.10829,2.8571,-3.30034,-7.20198,-1.30439,2.05032,-1.01585,-0.99911,1.29167,-1.0,0.14709,-4.14516,-0.00525,-0.01042,-0.01862,-0.01842,-0.00984,-0.01813,-0.02813,-0.03655,-0.02611,-0.00941,0,0,0,0,0,0
2022-02-09,0.25615,2.13415,-1.24895,-1.40716,1.96182,-1.11339,-0.63281,87.0,-4.58182,-inf,-0.14855,0.4,0.35819,0.90525,-1.64397,-4.29219,0.1594,-1.10059,-0.74866,-0.29032,-0.4077,-inf,-0.16722,17.2,-0.01583,-0.01053,-0.00542,-0.01072,0.38749,-0.021,-0.02083,-0.02394,-0.02895,0.37383,1,1,0,0,0,0
2022-02-10,-0.45091,-0.57948,-1.99966,-0.67279,1.22449,-7.45819,18.04255,-8.29545,0.15025,-0.0,0.092,-0.79487,-0.31026,0.31799,-0.75113,-1.13323,5.58855,-0.26773,5.99219,-643.0,-5.12,-inf,-0.07021,-0.71282,-0.00268,-0.01064,-0.00545,0.00271,-0.11711,-0.01847,-0.02105,-0.01084,-0.00804,0.22499,2,1,0,0,0,0
2022-02-11,-0.46997,-0.48237,-0.05945,0.67364,-0.54692,0.75608,4.09162,-1.03894,-0.41041,16.0,0.05052,3.16071,-0.70896,-0.78232,-1.94023,-0.45237,0.00788,-12.34114,95.95745,-0.71591,-0.32183,16.0,0.14717,-0.14652,0.0,0.00538,0.0,0.0027,0.26048,-0.00268,-0.00532,-0.00545,0.00542,0.11286,3,0,0,0,0,0
2022-02-14,0.61301,0.27935,0.80147,-2.59582,0.35133,-0.80684,-1.19179,-11.88,-1.11228,-0.13235,-0.1005,-0.75966,-0.14505,-0.33776,0.69437,-3.67083,-0.38774,-0.6608,-1.97654,-0.57632,-1.0662,13.75,-0.05506,0.0,-0.01613,-0.01337,-0.00822,-0.01348,-0.21784,-0.01613,-0.00806,-0.00822,-0.01081,-0.01411,4,0,0,0,0,0
2022-02-15,0.93309,1.31034,0.09717,-0.10032,0.45531,-1.82519,-3.41304,-1.34559,-8.44,-1.47458,0.2599,2.08929,2.11809,1.95575,0.97652,-2.43574,0.96661,-1.15939,-0.5372,2.76,-0.16467,-1.41176,0.13328,-0.25751,-0.01913,-0.01897,-0.02762,-0.03552,0.37792,-0.03495,-0.03209,-0.03562,-0.04852,0.07775,0,1,1,1,1,1
2022-02-16,-1.6936,-1.44262,-1.82756,-1.68355,-1.85513,0.44033,-1.35941,-1.0,-1.24194,-2.28571,-0.02158,-0.86705,-2.3408,-2.0226,-1.90797,-1.61498,-2.24448,-2.18855,-0.13272,-1.0,0.8,-0.38983,0.2327,-0.58929,-0.01393,0.01105,0.00284,0.02266,-0.30317,-0.03279,-0.00813,-0.02486,-0.01366,-0.03983,1,1,1,0,0,0
2022-02-17,-1.27771,-1.84644,-0.92375,-0.66475,-1.20279,-1.18433,-0.58839,inf,-2.4,-1.0,0.06468,-0.6087,-0.80738,-0.62535,-1.06311,-1.22916,-0.82659,-1.26549,-1.14794,-0.98936,-0.66129,-1.0,0.0417,-0.94798,0.04237,0.01366,0.0255,0.00831,-0.41578,0.02786,0.02486,0.02841,0.03116,-0.5929,2,1,1,0,0,0
2022-02-18,-2.94229,-1.6396,9.75772,2.12048,-3.68646,0.04878,0.61538,99.0,-5.18519,inf,-1.02551,-9.55556,-0.4606,-0.45862,-0.17967,0.04614,-0.45522,-1.19332,-0.33509,inf,4.85926,-21.55556,-1.02716,-4.34783,-0.00813,0.0027,0.0,0.00824,0.3663,0.0339,0.01639,0.0255,0.01662,-0.20178,3,0,0,0,0,0
2022-02-21,-1.0999,-0.83598,-1.40422,-0.9651,-0.95037,2.21595,-7.33333,-1.02,-1.88875,-1.00405,-1.01105,-0.42857,-0.80597,-1.10491,-5.34846,-0.8911,-1.13333,2.37282,-11.23077,-3.0,2.71958,-inf,-0.99972,-5.88889,-0.01093,-0.01075,-0.00276,0.0,-0.44496,-0.01897,-0.00809,-0.00276,0.00824,-0.24165,4,1,1,0,0,0
2022-02-22,-6.2015,1.77767,-2.43574,-12.66809,28.88281,-0.91942,-2.04198,0.5,-4.0441,-1.0,4.0,-1.38636,-0.48039,-0.5444,-0.41965,-1.40719,0.48313,-0.74086,5.59921,-1.03,1.70544,-1.0,-1.05525,-1.22078,-0.00276,0.00815,-0.00554,0.00817,0.08728,-0.01366,-0.00269,-0.00829,0.00817,-0.39652,0,0,0,0,0,0
2022-02-23,-2.26901,-1.75,-2.69218,0.39059,-1.22458,-17.97436,-3.35989,4.33333,-1.29626,inf,-40.3,-1.29412,5.60075,-3.08326,1.42952,-17.22553,-7.71094,-2.36777,1.45896,7.0,-0.09815,-301.66667,-197.5,-0.88636,0.0,-0.01348,0.00279,-0.01892,0.23596,-0.00276,-0.00543,-0.00277,-0.0109,0.34383,1,0,0,0,0,0
2022-02-24,1.14328,7.2063,-1.16117,-1.86022,0.91036,1.66465,-0.63817,-1.0,1.02208,-0.20067,-3.61832,-11.2,-3.71984,-7.15472,-0.72727,-2.19621,-1.42902,-46.23077,-1.85388,-1.0,-1.59907,inf,101.9,2.0,0.01108,0.0,-0.00278,-0.00551,-0.04067,0.01108,-0.01348,0.0,-0.02432,0.18569,2,0,0,0,0,0
2022-02-25,2.25172,1.23422,-18.05045,-2.35823,3.68068,-4.50992,0.33592,-inf,-0.0351,-0.1595,0.41108,8.35294,5.96935,17.33467,1.74801,0.16837,7.94179,-10.35272,-0.51663,69.9375,0.9511,-0.32816,-4.69466,-96.4,-0.02192,-0.02186,-0.04735,-0.04155,2.13583,-0.01108,-0.02186,-0.05,-0.04683,2.00829,3,1,1,0,0,0
2022-02-28,-0.96813,-0.86572,-1.20374,-3.32009,0.16066,-1.29306,-0.99763,-2.52159,-0.43331,-0.89934,-0.17906,-0.59748,-0.89638,-0.69999,2.47392,2.15122,4.43266,0.02863,-0.99683,inf,-0.4532,-0.9154,0.15841,2.76471,-0.01961,-0.01955,0.00292,0.00578,-0.44855,-0.0411,-0.04098,-0.04457,-0.03601,0.72925,4,1,1,0,0,0
2022-03-02,3.28088,-0.21175,-2.31576,-1.49787,-1.024,-2.33398,-292.66667,-1.01332,0.27389,-1.0,0.39849,-0.77083,-0.86358,-0.89416,-0.73192,0.15511,-1.02786,-0.60906,-1.69188,-0.97974,-0.27809,-1.0,0.14807,-0.90776,-0.02286,-0.00285,-0.02041,0.00575,0.31364,-0.04202,-0.02235,-0.01754,0.01156,-0.2756,0,0,0,0,0,0
2022-03-03,4.30599,6.20237,1.31006,-0.90595,-26.27103,0.56724,-1.66476,21.34783,2.22844,-inf,-0.21356,1.27273,21.71429,4.67725,-4.03949,-1.04683,-0.39338,-3.09066,192.88889,-1.29763,3.1127,-1.06557,0.09983,-0.47917,0.00292,-0.01429,0.00893,-0.02571,0.10919,-0.02,-0.01709,-0.01166,-0.02011,0.45707,2,1,1,1,1,1
