,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,-0.79006,-1.14807,-0.34546,-0.4962,-1.14303,1.80201,30.8,inf,0.72291,-28.5,-1.10606,-0.35,-0.47335,-0.04165,-0.39627,-0.43648,-1.34639,-0.15614,-0.74815,-1.08333,16.39062,2.66667,1.33333,0.02632,-0.03927,-0.00904,-0.0125,0.00926,-0.18172,-0.05357,-0.02374,-0.04532,-0.01802,0.6063,3,0,0,0,0,0
2022-01-10,2.20185,-9.18025,-1.03299,-0.28557,-0.44348,-2.79102,-1.68134,-1.0,-0.71159,-1.0,-1.10714,-0.10256,-0.32779,0.21125,-1.02159,-0.64007,-1.0796,-6.01846,-22.66667,-1.0,-0.5031,-1.0,-0.98864,-0.41667,0.02516,0.0,0.00633,-0.01835,-0.15718,-0.01511,-0.00904,-0.00625,-0.00926,-0.31034,4,0,0,0,0,0
2022-01-11,0.13197,0.07552,-4.66809,-1.62556,-30.39062,1.29488,-19.32308,inf,-2.29907,-inf,59.0,0.62857,2.62441,-9.79802,-0.879,-1.44692,-17.35652,-5.11018,11.48428,41.0,-1.37466,3.98182,-7.42857,0.46154,-0.02147,-0.0304,-0.09434,-0.05296,2.3338,0.00314,-0.0304,-0.08861,-0.07034,1.80979,0,1,1,0,0,0
2022-01-12,-0.85755,-1.07151,3.58121,-0.88095,-0.91095,-0.98922,-0.45978,-1.0,-2.59712,-0.92336,-0.87222,-0.5614,-0.83875,-1.07691,-17.80426,-1.07447,-3.61719,-0.97526,-10.89846,-1.0,1.07477,-inf,6.66667,-0.28571,-0.05643,-0.03762,0.04167,0.00658,-0.72246,-0.07669,-0.06687,-0.0566,-0.04673,-0.07473,1,1,1,1,0,0
2022-01-13,-1.08413,1.03218,-0.39099,11.72558,0.07164,-51.35135,-0.91172,-1.0,0.16216,-1.04762,0.04348,-0.48,-1.01198,-1.14532,1.79002,0.51495,-0.90457,-1.54283,-0.95231,-1.0,-2.85612,-1.00365,-0.86667,-0.77193,0.01329,0.01629,0.01667,0.01307,-0.2886,-0.04389,-0.02194,0.05903,0.01974,-0.80256,2,0,0,0,0,0
2022-01-14,-25.60633,-1.32445,0.91476,2.24671,-1.039,0.51557,26.61268,-1.0,-0.98191,-1.0,-1.0,-0.38462,1.07004,-1.65934,0.16612,40.31628,-1.04179,-77.31081,1.43767,-1.0,-0.97898,-1.0,-1.0,-0.68,0.01639,0.00641,0.00328,-0.00968,0.50053,0.0299,0.0228,0.02,0.00327,0.06748,3,0,0,0,0,0
2022-01-17,-0.59231,-0.93452,-0.52942,-1.23517,2.5,-1.08305,-0.93382,-1.0,2.21429,-inf,-inf,2.5,-11.03167,-1.02124,-0.09896,-1.76352,-1.13649,-1.12587,0.82746,-1.0,-0.94186,-33.0,-1.95833,1.15385,-0.01613,-0.02548,-0.01307,-0.00977,-0.5061,0.0,-0.01923,-0.00984,-0.01935,-0.25889,4,0,0,0,0,0
2022-01-18,-0.51421,16.32727,-0.9054,-1.07899,-0.83673,-0.2516,1.43545,-inf,-12.97778,-1.0,-4.56522,-1.07143,-0.80195,0.13452,-0.95548,-0.98143,-0.42857,-1.06216,-0.83882,-inf,-39.5,-1.0,inf,-1.25,-0.00984,-0.00654,-0.01325,-0.01645,0.14578,-0.02581,-0.03185,-0.02614,-0.02606,-0.4341,0,1,0,0,0,0
2022-01-19,-1.40576,-4.2277,11.89756,-2.39394,-141.75,-0.05698,0.22231,-1.0,-1.13729,-1.0,-0.95122,-1.0,-1.19711,-56.92727,0.22012,-0.8899,-23.97959,-0.29424,1.97688,-1.0,0.64444,-1.0,-1.17391,-1.0,-0.00993,-0.00658,0.0,0.00334,-0.2689,-0.01967,-0.01307,-0.01325,-0.01316,-0.16232,1,0,0,0,0,0
2022-01-20,-2.77574,-0.5868,-0.22504,-4.16087,-0.4778,-2.2145,-0.189,-inf,9.78378,inf,-2.5,inf,-0.27948,-2.33368,8.99512,3.40606,-74.5,-2.1453,-0.0087,7.5,-2.48052,inf,-1.07317,-5.0,0.00334,0.0,-0.00336,0.0,0.09366,-0.00662,-0.00658,-0.00336,0.00334,-0.20043,2,1,1,1,1,1
