,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,-1.14668,-1.06825,-1.27149,-0.74765,10.81481,-7.54695,4.48485,-1.0,-0.2391,0.15385,-0.87291,-1.21811,-2.1503,-0.76154,-1.3054,-0.6747,-15.98658,-4.8469,-0.12981,-1.0,-0.13901,7.57143,-0.6766,-inf,-0.01372,-0.00273,0.01132,0.01116,0.35217,-0.01372,-0.01614,-0.01921,-0.01361,1.77167,3,1,1,1,1,0
2022-01-10,-0.33199,0.72744,-0.82693,0.10838,-0.80654,-0.56328,-2.23204,-1.0,-2.22396,-1.0,-0.30263,-0.92453,-1.09799,-1.1179,-1.04699,-0.72029,1.28571,-3.85915,-7.75758,-1.0,-1.93131,-1.0,-0.91137,-1.01646,0.02134,0.01185,0.01306,0.01564,-0.33324,0.00732,0.00909,0.02453,0.02698,-0.09843,4,0,0,0,0,0
2022-01-11,-56.42832,-58.8126,-54.65366,0.42251,-8.82176,-10.58374,5.04933,-inf,-6.11489,inf,11.69811,-78.75,-38.02682,-100.86791,-10.28577,0.57669,-2.51321,-5.18537,-8.45304,-inf,5.26042,2.35,7.85526,-6.86792,-0.0545,-0.05946,-0.15193,-0.13406,6.0333,-0.03432,-0.04831,-0.14086,-0.12052,3.68953,0,0,0,0,0,0
2022-01-12,-0.87895,-0.92677,-0.58724,-0.73346,-0.17609,-0.93789,-1.02001,-0.07313,-0.17415,-1.35323,0.77117,-0.32154,-7.70941,-5.23371,-23.14634,-0.62085,-7.44444,-1.59524,-1.12108,-inf,-5.22411,-inf,21.49057,-53.75,-0.07877,-0.07567,0.01846,-0.00837,-0.52198,-0.12897,-0.13063,-0.13628,-0.1413,2.36206,1,1,0,0,0,0
2022-01-13,-0.32885,0.34457,-0.96806,-7.58637,-1.13218,5.23448,12.74074,-1.00837,-0.57555,-1.97183,-0.68289,-0.74408,-0.91876,-0.90154,-0.98682,-2.75551,-1.10891,-0.61278,-1.27502,-1.00776,-0.64947,-0.65672,-0.43834,-0.82637,-0.00521,-0.00311,0.0064,0.00105,-0.24593,-0.08357,-0.07854,0.02497,-0.00732,-0.63954,2,1,1,1,1,1
2022-01-14,-2.40052,-2.31388,-4.02414,-1.19764,4.8587,-0.87323,-1.49865,0.42857,-1.11709,-0.84058,-1.01587,-3.85185,-1.93996,-2.7666,-1.09659,0.3017,-1.77443,-0.20966,-7.85185,-1.01195,-1.0497,-1.15493,-1.00503,-1.72986,-0.00314,0.03119,0.00212,0.0274,-0.12255,-0.00834,0.02798,0.00853,0.02848,-0.33834,3,0,0,0,0,0
2022-01-17,-1.04662,-0.63446,-7.71836,1.95794,-1.19017,4.11867,0.92432,-1.0,0.93243,-3.45455,-19.83333,-1.13636,-0.9347,-1.48028,19.31724,-1.5846,-2.11413,-0.35111,-1.95957,-1.0,-1.22627,-1.3913,-0.70106,-0.61111,0.01262,-0.00907,0.00423,-0.00103,-0.28033,0.00943,0.02183,0.00636,0.02634,-0.36852,4,0,0,0,0,0
2022-01-18,4.43759,-1.78728,-1.02393,-0.97725,-0.49024,-1.24889,-1.89045,-1.0,-0.96503,-1.0,0.71681,-3.0,-1.25353,-1.28778,-0.83922,-0.93271,-1.09694,-2.274,-2.71351,-1.0,-0.93243,-1.0,-33.33333,-0.72727,0.01142,0.00203,0.00211,-0.01745,-0.01589,0.02419,-0.00706,0.00634,-0.01846,-0.29176,0,0,0,0,0,0
2022-01-19,-1.59033,-1.87916,-11.05674,-3.47222,-0.82775,-1.91918,0.69085,-1.0,-36.2,-1.0,-0.50515,-0.83333,-4.20999,-0.30786,-0.75933,-1.05624,-0.9122,-0.77122,-2.50562,-1.0,-2.23077,-1.0,-0.15044,-1.33333,-0.02464,-0.01726,-0.0021,-0.00418,-0.56148,-0.0135,-0.01526,0.0,-0.02156,-0.56844,1,1,0,0,0,0
2022-01-20,0.3527,-0.67786,-2.20592,9.51124,1.80556,-1.17437,-0.75,inf,-0.19318,-1.0,0.28125,0.28571,-1.79854,-1.28321,11.12766,-26.98611,-0.51675,-0.83973,-0.57729,inf,-29.4,-1.0,-0.36598,-0.78571,0.01263,-0.0062,-0.01053,0.0021,0.39291,-0.01232,-0.02335,-0.01261,-0.00209,-0.38918,2,1,1,1,0,0
