,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,dxy_cr,ixic_f_cr,bond_kor_10_cr,bond_kor_2_cr,kosdaq_cr,kospi_cr,krw_cr,ixic_cr,spx_f_cr,sox_cr,spx_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,vix_cr,wti_cr,spsy_cr,spny_cr,spxhc_cr,splrcd_cr,splrci_cr,splrcu_cr,splrcs_cr,splrct_cr,splrcl_cr,splrcm_cr,ixbk_cr,ixfn_cr,ixid_cr,ixis_cr,ixk_cr,ixtr_cr,ixut_cr,nbi_cr,bkx_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,dxy_cr_2,ixic_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,ixic_cr_2,spx_f_cr_2,sox_cr_2,spx_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,vix_cr_2,wti_cr_2,spsy_cr_2,spny_cr_2,spxhc_cr_2,splrcd_cr_2,splrci_cr_2,splrcu_cr_2,splrcs_cr_2,splrct_cr_2,splrcl_cr_2,splrcm_cr_2,ixbk_cr_2,ixfn_cr_2,ixid_cr_2,ixis_cr_2,ixk_cr_2,ixtr_cr_2,ixut_cr_2,nbi_cr_2,bkx_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,-2.08014,-0.99511,-0.43867,-0.40191,-1.56571,-0.51651,0.31915,-1.0,1.16923,-1.0,-1.62911,0.2,-0.47,-0.46,0.15,-0.05,4.46,4.68,-2.9,-1.13,0.56,-0.13,-0.04,0.75,-0.1,1.66,5.3,10.99,-0.61,2.07,1.55,2.29,-1.21,-0.33,0.45,-1.05,-0.21,-0.48,0.35,-1.24,3.77,-0.21,-0.37,0.62,-0.14,0.07,0.67,-0.04,3.25,-0.00478,-0.00476,-0.00962,-0.00957,-0.2609,0.63752,-0.94235,-0.02087,-0.37022,-2.8,9.35366,-0.85581,-1.0,5.0,9.33333,-5.10204,-1.19672,-1.53039,-1.50511,0.06233,-3.17497,7.21694,9.44606,-4.97838,-2.29858,0.62297,-3.46841,-1.9619,-2.49339,-2.03378,4.79078,15.0,17.44186,15.96689,3.20821,0.27841,2.21557,-1.90929,-2.96277,-0.51014,-1.09991,-0.23876,-3.59662,-2.59624,-1.31601,3.21399,-3.23906,-3.29612,-0.97673,-3.905,-2.00966,-0.65812,-3.89833,2.1313,0.0,0.00481,0.0,-0.00481,0.31643,3,0,0,0,0,0
2022-01-10,1.01141,-30.07692,0.54264,-0.38019,-2.05051,1.77267,0.09677,-1.0,-0.7305,-1.0,1.47512,-1.0,-0.01,-0.04,-0.62,-1.13,-0.93,0.96,1.52,1.18,-0.61,-0.96,-0.25,-2.88,-0.41,2.16,-0.4,-4.95,-4.33,-0.7,1.15,1.45,-0.45,-1.65,-0.03,0.75,0.16,-1.01,-0.31,-0.09,0.67,-0.13,-0.99,0.37,-0.94,-0.55,-1.58,-0.93,1.6,-0.00481,-0.00478,0.0,0.0,0.15436,-3.17261,-1.14216,-0.13408,-0.6293,-0.40571,0.34055,0.44681,-1.0,-0.41538,-1.0,-2.55712,-1.0,-0.48191,-0.50701,-0.46792,-1.17655,3.49474,5.68879,-1.43222,0.03114,-0.04757,-1.08787,-0.29556,-2.15342,-0.50101,3.82353,4.81928,5.49451,-4.91637,1.34875,2.71133,3.77521,-1.65817,-1.97362,0.42366,-0.30645,-0.05197,-1.48715,0.03842,-1.32234,4.46477,-0.33968,-1.35513,0.99132,-1.08362,-0.47445,-0.92374,-0.9712,4.9002,-0.00957,-0.00952,-0.00962,-0.00957,-0.14681,4,1,1,1,1,1
2022-01-11,-2.23287,-11.57804,-0.59422,-0.46735,-0.54808,-0.63042,0.17647,-1.0,-1.18421,-1.0,-0.38392,-1.0,-0.45,-0.43,0.28,0.17,1.1,0.63,-1.49,-0.95,0.03,0.05,-0.1,0.24,-0.14,-0.59,3.25,3.12,3.41,-0.85,-0.3,-0.27,1.04,-0.6,-1.15,-0.64,-0.73,0.1,0.02,-0.99,-0.55,-0.96,-0.47,0.09,0.36,-1.76,-0.18,1.05,-0.22,0.0,0.02885,0.00485,0.02899,0.83846,-3.47982,306.57692,-0.37403,-0.66986,-1.47475,0.02473,0.29032,-1.0,-1.04965,-1.0,0.52488,-0.25,-0.46251,-0.47338,-0.34261,-0.95818,1.0989,0.63492,0.00816,0.21195,-0.57347,-0.91527,-0.35377,-2.65155,-0.54854,1.5625,2.746,-1.9802,-1.07089,-1.54795,0.84472,1.17815,0.57981,-2.23648,-1.17868,0.1098,-0.57416,-0.90865,-0.29106,-1.07894,0.11469,-1.08512,-1.4509,0.45725,-0.58735,-2.29546,-1.75908,0.10775,1.37493,-0.00481,0.02392,0.00485,0.02899,1.12225,0,1,1,0,0,0
2022-01-12,-0.74108,-0.61898,0.25464,-0.25806,-1.3617,-0.24483,0.5875,-1.0,-45.28571,-1.0,-0.35726,-61.33333,0.51,0.49,-0.38,1.43,0.04,-0.79,-1.07,0.02,-0.48,1.41,0.84,1.84,0.92,-0.5,-1.1,28.28,-5.1,3.82,0.84,3.41,0.76,1.03,0.63,-0.92,-0.14,1.21,1.02,1.11,0.35,1.6,1.7,0.59,1.32,0.45,1.68,1.15,0.89,0.02899,0.00935,0.02415,0.00939,-0.18527,-1.31921,-5.03042,-0.49089,-0.60481,-1.16346,-0.7209,0.86765,-1.0,7.15789,-1.0,-0.60402,1.0,0.05619,0.05816,-0.10447,1.60452,1.1396,-0.15873,-2.53628,-0.931,-0.44421,1.45656,0.74109,2.08412,0.77058,-1.07649,2.06897,32.29167,-1.86567,2.94043,0.53438,3.13529,1.80797,0.43339,-0.524,-1.55372,-0.87043,1.31455,1.04495,0.10871,-0.20595,0.63331,1.22426,0.67853,1.68207,-1.31694,1.49887,2.21451,0.66634,0.02899,0.03846,0.02913,0.03865,0.49786,1,1,0,0,0,0
2022-01-13,0.50667,-0.11848,-0.82171,-3.63478,-3.88235,-1.08524,-0.73228,-1.0,0.4,-1.0,-1.0,-1.0442,0.11,0.09,-0.74,0.36,-2.29,-2.12,2.21,1.54,-0.54,0.23,0.27,0.66,0.28,0.31,3.87,-3.94,-4.29,1.75,0.04,0.19,-0.26,0.63,0.3,0.35,0.05,0.44,0.36,0.95,0.2,-0.29,0.43,-0.52,0.48,-0.06,-0.32,-1.52,0.5,0.00469,0.0,0.00472,0.00465,-0.20677,-0.6099,-0.66412,-0.77632,-2.95484,0.04255,-1.06437,-0.575,-1.0,-63.0,-1.0,-1.0,1.66667,0.61396,0.57855,-1.1147,1.78915,-2.25443,-2.89169,1.11691,1.56353,-1.01583,1.64333,1.11276,2.51801,1.20035,-0.17094,2.78396,23.23232,-9.17525,5.63722,0.87719,3.60911,0.49817,1.67534,0.93105,-0.56811,-0.09729,1.6518,1.3827,2.07524,0.55168,1.31209,2.14023,0.07191,1.80278,0.3882,1.35707,-0.38155,1.39759,0.03382,0.00935,0.02899,0.01408,-0.35373,2,0,0,0,0,0
2022-01-14,-0.4252,0.56292,6.58478,-4.27063,-0.73469,-1.35714,3.05882,-1.0,-0.95853,-1.0,-1.0,21.45833,-0.49,-0.47,-0.13,-2.5,-1.28,-2.11,-0.82,-0.35,0.02,-2.51,-1.45,-2.29,-1.42,-2.92,-3.03,0.0,15.27,-0.63,-0.41,-0.6,-1.63,-2.08,0.18,0.45,0.22,-2.65,-1.4,-0.81,0.38,-1.6,-2.52,-0.13,-2.9,0.23,-0.36,-2.26,0.19,0.00935,0.0,0.00469,-0.00463,-0.23958,-0.13397,0.37775,0.35225,7.61739,-1.76471,-0.96956,0.08661,-1.0,-0.94194,-0.5,-0.73858,-1.99263,-0.38177,-0.38474,-0.86802,-2.15242,-3.54125,-4.18654,1.37434,1.1857,-0.52,-2.28754,-1.18228,-1.6411,-1.1466,-2.57732,0.78829,-3.93701,10.32048,1.1081,-0.36888,-0.41473,-1.88803,-1.45702,0.47989,0.80899,0.2698,-2.22689,-1.04555,0.13884,0.58989,-1.88296,-2.09697,-0.64562,-2.43911,0.17176,-0.68173,-3.74327,0.69606,0.01408,0.0,0.00943,0.0,-0.39681,3,1,0,0,0,0
2022-01-17,1.22361,0.13387,-0.62546,-0.73007,-0.76923,3.2,-0.28986,-1.0,0.58333,21.5,7.78641,-0.99814,-0.56,-0.54,0.4,0.68,2.34,3.98,-1.21,-1.36,0.33,0.59,0.34,2.33,0.08,5.43,8.27,5.74,-5.51,2.07,-1.01,2.44,-0.17,-0.45,-0.57,-0.65,0.19,0.89,0.53,-0.84,0.78,-0.49,0.09,-0.25,1.13,-0.77,-0.42,0.92,-0.31,0.0,0.00463,0.0,0.00465,0.20178,0.27813,0.77215,1.84083,-1.88284,-0.93878,-2.5,1.88235,-1.0,-0.93433,-1.0,-1.0,-0.95833,-1.04301,-1.00664,0.26338,-1.8348,1.02965,1.78668,-2.01144,-1.70094,0.35417,-1.9399,-1.11099,-0.01538,-1.34353,2.34018,4.98375,5.7377,8.91033,1.42788,-1.4125,1.82759,-1.79748,-2.5167,-0.38946,-0.20083,0.4095,-1.78796,-0.87134,-1.63455,1.17064,-2.08267,-2.43274,-0.37784,-1.80812,-0.54123,-0.77896,-1.35617,-0.12221,0.00935,0.00463,0.00469,0.0,-0.08614,4,0,0,0,0,0
2022-01-19,-3.12291,-3.11921,-1.04815,-0.10256,-0.75862,-1.02676,-2.27273,-1.0,0.36957,-0.91304,13.24828,-1.05882,-1.51,-1.58,0.5,-2.45,-0.58,-0.3,-1.46,-0.89,0.23,-2.6,-0.55,-4.44,-1.84,3.67,4.3,1.79,18.76,2.08,-2.3,0.4,-1.39,-1.92,-1.19,-1.2,-1.49,-2.49,-1.99,-1.32,-1.73,-1.4,-2.02,-1.86,-2.84,-2.14,-2.66,-3.85,-2.4,-0.0093,-0.00926,0.0,0.0,-0.13275,-0.53874,-0.2605,-0.93179,-1.06542,1.33333,-0.60714,-1.14286,-1.0,0.10526,-0.95556,1.28287,-2.0,-2.06336,-1.53593,0.58842,-2.4193,3.61201,4.78723,-2.82585,-1.97404,0.22016,-2.02548,-0.54222,-2.2194,-1.7583,4.57334,7.94634,10.07752,12.21074,1.90862,-3.27974,2.85899,-1.55392,-2.35952,-1.75381,-1.84435,-1.3117,-1.62102,-1.4677,-2.14555,-0.95688,-1.88688,-1.93708,-2.1081,-1.74608,-2.90129,-3.06914,-2.96261,-2.70398,-0.01389,-0.01382,-0.01402,-0.01389,-0.35575,1,0,0,0,0,0
2022-01-20,2.03574,0.15511,-8.23214,27.6,-1.14286,-0.12121,-2.0,-1.0,6.87302,28.5,-0.89255,-3.0,-0.96,-0.99,-0.23,-1.13,-0.67,-4.11,-1.06,-0.77,-0.38,-1.15,-0.99,-3.09,-0.97,-1.14,0.43,21.13,4.65,1.79,-1.65,-0.66,-0.44,-1.81,-1.1,0.46,0.68,-1.37,-0.19,-0.21,-2.24,-0.76,-1.18,-1.23,-1.18,-1.05,-0.77,-1.05,-3.13,-0.00939,0.00467,-0.00474,0.0,0.4731,-7.44461,-3.44792,-0.65176,24.66667,-1.03448,-1.02352,0.27273,-1.0,9.78261,1.56522,0.53103,-0.88235,-2.45925,-2.55136,0.26244,-3.55413,-1.24611,-4.40283,-2.50548,-1.65461,-0.1563,-3.71626,-1.53532,-7.39423,-2.78993,2.48756,4.78564,22.85714,24.28348,3.90728,-3.91094,-0.25611,-1.82333,-3.69106,-2.27664,-0.74823,-0.82062,-3.82418,-2.1784,-1.52905,-3.92577,-2.14804,-3.17794,-3.07096,-3.98987,-3.16937,-3.40892,-4.86002,-5.45887,-0.0186,-0.00463,-0.00474,0.0,0.27754,2,0,0,0,0,0
2022-01-21,-2.44102,-1.91343,-0.18025,-0.43357,-5.0,7.62069,-4.92857,-1.0,-0.92742,-1.0,11.39189,-7.5,-0.89,-0.84,0.24,-1.28,0.83,2.75,2.66,0.72,0.36,-1.3,-1.09,-3.25,-1.1,-2.31,-2.29,4.65,7.3,-0.07,-0.63,-0.9,-0.58,-1.94,-1.24,0.14,-0.72,-1.33,-1.14,-1.43,-2.37,-0.51,-1.29,-0.21,-1.41,-1.25,-0.98,-1.13,-1.65,0.00948,-0.00465,-0.00952,-0.01878,0.23709,-5.37455,-2.05511,-6.92857,15.2,-0.42857,6.57576,2.92857,-1.0,-0.42857,-1.0,0.33156,12.0,-1.8465,-1.82365,0.01045,-2.40037,0.15668,-1.47208,1.56366,-0.05446,-0.02264,-2.4325,-2.07276,-6.23759,-2.062,-3.41333,-1.81644,26.76056,12.28609,1.72071,-2.26818,-1.5507,-1.02181,-3.71318,-2.3255,0.60243,-0.04544,-2.68479,-1.3258,-1.64035,-4.55448,-1.25981,-2.45512,-1.43863,-2.57314,-2.28478,-1.73506,-2.16957,-4.73637,0.0,0.0,-0.01422,-0.01878,0.82236,3,1,0,0,0,0
