,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,dxy_cr,ixic_f_cr,bond_kor_10_cr,bond_kor_2_cr,kosdaq_cr,kospi_cr,krw_cr,ixic_cr,spx_f_cr,sox_cr,spx_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,vix_cr,wti_cr,spsy_cr,spny_cr,spxhc_cr,splrcd_cr,splrci_cr,splrcu_cr,splrcs_cr,splrct_cr,splrcl_cr,splrcm_cr,ixbk_cr,ixfn_cr,ixid_cr,ixis_cr,ixk_cr,ixtr_cr,ixut_cr,nbi_cr,bkx_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,dxy_cr_2,ixic_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,ixic_cr_2,spx_f_cr_2,sox_cr_2,spx_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,vix_cr_2,wti_cr_2,spsy_cr_2,spny_cr_2,spxhc_cr_2,splrcd_cr_2,splrci_cr_2,splrcu_cr_2,splrcs_cr_2,splrct_cr_2,splrcl_cr_2,splrcm_cr_2,ixbk_cr_2,ixfn_cr_2,ixid_cr_2,ixis_cr_2,ixk_cr_2,ixtr_cr_2,ixut_cr_2,nbi_cr_2,bkx_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,0.66048,1.26077,-1.75117,-0.25347,-0.49032,-1.12542,-1.26443,-1.0,0.12303,-1.0,3.9443,3.45455,-0.47,-0.46,0.15,-0.05,4.46,4.68,-2.9,-1.13,0.56,-0.13,-0.11,0.75,-0.1,1.66,5.3,10.99,-0.61,2.07,1.55,2.29,-1.21,-0.33,0.45,-1.05,-0.21,-0.48,0.35,-1.24,3.77,-0.21,-0.37,0.62,-0.14,0.07,0.67,-0.04,3.25,0.02761,0.03754,0.04252,0.03916,0.32342,1.3982,1.57025,-12.05243,1.118,0.46647,-0.03846,-1.23149,8.61905,2.21089,-1.40183,0.07435,-6.06897,-1.53039,-1.50511,0.06233,-3.17497,7.21694,9.44606,-4.97838,-2.29858,0.62297,-3.46841,-2.02226,-2.49339,-2.03378,4.79078,15.0,17.44186,15.96689,3.20821,0.27841,2.21557,-1.90929,-2.96277,-0.51014,-1.09991,-0.23876,-3.59662,-2.59624,-1.31601,3.21399,-3.23906,-3.29612,-0.97673,-3.905,-2.00966,-0.65812,-3.89833,2.1313,0.07029,0.07132,0.06774,0.07143,0.70193,3,1,1,1,1,1
2022-01-10,0.19923,0.23457,0.91058,0.28251,-0.72714,0.01888,-0.58141,-1.2599,-0.57659,-0.92045,-0.53755,-0.07483,-0.01,-0.04,-0.62,-1.13,-0.93,0.96,1.52,1.18,-0.61,-0.96,-0.42,-2.88,-0.41,2.16,-0.4,-4.95,-4.33,-0.7,1.15,1.45,-0.45,-1.65,-0.03,0.75,0.16,-1.01,-0.31,-0.09,0.67,-0.13,-0.99,0.37,-0.94,-0.55,-1.58,-0.93,1.6,0.07463,0.04486,0.04381,0.04203,0.20748,0.9913,1.79107,-2.43517,-0.04257,-0.86093,-1.12778,-1.11069,1.0,-0.5245,-1.0,1.28647,3.12121,-0.48191,-0.50701,-0.46792,-1.17655,3.49474,5.68879,-1.43222,0.03114,-0.04757,-1.08787,-0.52744,-2.15342,-0.50121,3.82353,4.81928,5.49451,-4.91637,1.34875,2.71133,3.77521,-1.65817,-1.97362,0.42366,-0.30645,-0.05197,-1.48715,0.03842,-1.32234,4.46477,-0.33968,-1.35513,0.99132,-1.08362,-0.47445,-0.92374,-0.9712,4.9002,0.10429,0.08408,0.08819,0.08283,0.598,4,0,0,0,0,0
2022-01-11,-0.65683,-0.38146,1.71209,0.0238,-2.3539,6.32995,22.54561,-1.66667,-2.59244,94.42857,-1.36311,-0.625,-0.45,-0.43,0.28,0.17,1.1,0.63,-1.49,-0.95,0.03,0.05,-0.12,0.24,-0.14,-0.59,3.25,3.12,3.41,-0.85,-0.3,-0.27,1.04,-0.6,-1.15,-0.64,-0.73,0.1,0.02,-0.99,-0.55,-0.96,-0.47,0.09,0.36,-1.76,-0.18,1.05,-0.22,0.01667,0.01385,0.00579,-0.01252,-0.34316,-0.58846,-0.23637,4.18166,0.31303,-1.36943,6.46831,8.85591,-0.82673,-1.67426,6.59091,-1.16792,-0.65306,-0.46251,-0.47338,-0.34261,-0.95818,1.0989,0.63492,0.00816,0.21195,-0.57347,-0.91527,-0.53867,-2.65155,-0.54855,1.5625,2.746,-1.9802,-1.07089,-1.54795,0.84472,1.17815,0.57981,-2.23648,-1.17868,0.1098,-0.57416,-0.90865,-0.29106,-1.07894,0.11469,-1.08512,-1.4509,0.45725,-0.58735,-2.29546,-1.75908,0.10775,1.37493,0.09254,0.05933,0.04985,0.02899,-0.20687,0,1,1,1,1,1
2022-01-12,0.931,0.11055,-0.67051,-0.8489,-0.97364,-0.37534,-0.62602,-1.64286,-0.83465,-1.0,-1.34505,2.97386,0.51,0.49,-0.38,1.43,0.04,-0.79,-1.07,0.02,-0.48,1.41,0.92,1.84,0.92,-0.5,-1.1,28.28,-5.1,3.82,0.84,3.41,0.76,1.03,0.63,-0.92,-0.14,1.21,1.02,1.11,0.35,1.6,1.7,0.59,1.32,0.45,1.68,1.15,0.89,-0.03279,0.0041,0.01727,0.0338,-0.15719,-0.33734,-0.31308,-0.10639,-0.84531,-1.03569,3.57874,7.80551,-0.57143,-1.26331,-1.0,-0.87471,0.4902,0.05619,0.05816,-0.10447,1.60452,1.1396,-0.15873,-2.53628,-0.931,-0.44421,1.45656,0.79803,2.08412,0.77079,-1.07649,2.06897,32.29167,-1.86567,2.94043,0.53438,3.13529,1.80797,0.43339,-0.524,-1.55372,-0.87043,1.31455,1.04495,0.10871,-0.20595,0.63331,1.22426,0.67853,1.68207,-1.31694,1.49887,2.21451,0.66634,-0.01667,0.01801,0.02315,0.02086,-0.44641,1,1,1,1,1,1
2022-01-13,0.93504,0.71005,-0.91958,-3.48802,-17.54237,-0.50029,-0.74531,-1.11111,9.04565,-1.0,35.74537,1.40789,0.11,0.09,-0.74,0.36,-2.29,-2.12,2.21,1.54,-0.54,0.23,0.24,0.66,0.28,0.31,3.87,-3.94,-4.29,1.75,0.04,0.19,-0.26,0.63,0.3,0.35,0.05,0.44,0.36,0.95,0.2,-0.29,0.43,-0.52,0.48,-0.06,-0.32,-1.52,0.5,0.05932,0.05306,0.05658,0.05313,0.39597,2.73656,0.8991,-0.9735,-1.37594,-1.4361,-0.68785,-0.90475,-0.92857,0.66104,-0.93413,-13.67891,8.56863,0.61396,0.57855,-1.1147,1.78915,-2.25443,-2.89169,1.11691,1.56353,-1.01583,1.64333,1.15824,2.51801,1.20035,-0.17094,2.78396,23.23232,-9.17525,5.63722,0.87719,3.60911,0.49817,1.67534,0.93105,-0.56811,-0.09729,1.6518,1.3827,2.07524,0.55168,1.31209,2.14023,0.07191,1.80278,0.3882,1.35707,-0.38155,1.39759,0.02459,0.05738,0.07482,0.08873,0.17653,2,0,0,0,0,0
2022-01-14,-0.88329,-0.78435,13.33461,1.60991,-1.70492,0.11722,26.52955,14.0,-0.48042,0.70455,-0.99093,-0.97268,-0.49,-0.47,-0.13,-2.5,-1.28,-2.11,-0.82,-0.35,0.02,-2.51,-1.36,-2.29,-1.42,-2.92,-3.03,0.0,15.27,-0.63,-0.41,-0.6,-1.63,-2.08,0.18,0.45,0.22,-2.65,-1.4,-0.81,0.38,-1.6,-2.52,-0.13,-2.9,0.23,-0.36,-2.26,0.19,0.02133,-0.00904,-0.00669,-0.02329,-0.15597,-0.77416,-0.63123,0.15276,-7.49351,10.66102,-0.44171,6.01153,-2.66667,4.21957,-1.0,-0.66667,-0.93421,-0.38177,-0.38474,-0.86802,-2.15242,-3.54125,-4.18654,1.37434,1.1857,-0.52,-2.28754,-1.12646,-1.6411,-1.14681,-2.57732,0.78829,-3.93701,10.32048,1.1081,-0.36888,-0.41473,-1.88803,-1.45702,0.47989,0.80899,0.2698,-2.22689,-1.04555,0.13884,0.58989,-1.88296,-2.09697,-0.64562,-2.43911,0.17176,-0.68173,-3.74327,0.69606,0.08192,0.04354,0.0495,0.02861,0.17824,3,0,0,0,0,0
2022-01-17,-0.76443,-0.42382,-0.04044,-1.65258,2.31395,-1.83089,-0.79736,-0.18667,-0.23948,1.58667,-6.52778,-1.775,-0.56,-0.54,0.4,0.68,2.34,3.98,-1.21,-1.36,0.33,0.59,0.06,2.33,0.08,5.43,8.27,5.74,-5.51,2.07,-1.01,2.44,-0.17,-0.45,-0.57,-0.65,0.19,0.89,0.53,-0.84,0.78,-0.49,0.09,-0.25,1.13,-0.77,-0.42,0.92,-0.31,-0.02611,-0.01956,-0.04043,-0.05166,-0.41392,-0.97251,-0.87575,12.75496,-2.70317,-3.33607,-1.92828,4.57866,11.2,-0.60485,3.40909,-1.05014,-1.02117,-1.04301,-1.00664,0.26338,-1.8348,1.02965,1.78668,-2.01144,-1.70094,0.35417,-1.9399,-1.304,-0.01538,-1.34353,2.34018,4.98375,5.7377,8.91033,1.42788,-1.4125,1.82759,-1.79748,-2.5167,-0.38946,-0.20083,0.4095,-1.78796,-0.87134,-1.63455,1.17064,-2.08267,-2.43274,-0.37784,-1.80812,-0.54123,-0.77896,-1.35617,-0.12221,-0.00533,-0.02842,-0.04685,-0.07374,-0.50533,4,0,0,0,0,0
2022-01-19,-1.52196,-1.01062,-0.80872,-2.37027,-0.13758,-1.4131,-0.92301,22.77419,-0.18821,-1.0,-2.27273,-0.75773,-1.51,-1.58,0.5,-2.45,-0.58,-0.3,-1.46,-0.89,0.23,-2.6,-1.84,-4.44,-1.83,3.67,4.3,1.79,18.76,2.08,-2.3,0.4,-1.39,-1.92,-1.19,-1.2,-1.49,-2.49,-1.99,-1.32,-1.73,-1.4,-2.02,-1.86,-2.84,-2.14,-2.66,-3.85,-2.4,0.0,-0.01639,-0.01003,-0.01839,-0.12518,-1.93786,-1.01451,-0.76808,-0.75829,-0.44737,-0.21412,-0.82542,23.16393,-0.33625,-0.96907,-0.57789,-2.51613,-2.06336,-1.53593,0.58842,-2.4193,3.61201,4.78723,-2.82585,-1.97404,0.22016,-2.02548,-1.83604,-2.2194,-1.75316,4.57334,7.94634,10.07752,12.21074,1.90862,-3.27974,2.85899,-1.55392,-2.35952,-1.75381,-1.84435,-1.3117,-1.62102,-1.4677,-2.14555,-0.95688,-1.88688,-1.93708,-2.1081,-1.74608,-2.90129,-3.06914,-2.96261,-2.70398,-0.04424,-0.04255,-0.02949,-0.03073,-0.23069,1,0,0,0,0,0
2022-01-20,5.18031,64.08786,0.62094,-2.04959,1.81905,-1.80603,1.50276,-0.61601,0.20462,-0.83333,3.7381,-1.34043,-0.96,-0.99,-0.23,-1.13,-0.67,-4.11,-1.06,-0.77,-0.38,-1.15,-1.03,-3.09,-0.97,-1.14,0.43,21.13,4.65,1.79,-1.65,-0.66,-0.44,-1.81,-1.1,0.46,0.68,-1.37,-0.19,-0.21,-2.24,-0.76,-1.18,-1.23,-1.18,-1.05,-0.77,-1.05,-3.13,-0.03226,-0.0375,-0.06946,-0.05908,0.79205,-4.2259,-1.69096,-0.68995,0.43822,1.43121,-0.66703,-0.8073,8.12903,-0.0221,-1.0,-7.0303,-1.08247,-2.45925,-2.55136,0.26244,-3.55413,-1.24611,-4.40283,-2.50548,-1.65461,-0.1563,-3.71626,-2.85055,-7.39423,-2.78992,2.48756,4.78564,22.85714,24.28348,3.90728,-3.91094,-0.25611,-1.82333,-3.69106,-2.27664,-0.74823,-0.82062,-3.82418,-2.1784,-1.52905,-3.92577,-2.14804,-3.17794,-3.07096,-3.98987,-3.16937,-3.40892,-4.86002,-5.45887,-0.03226,-0.05328,-0.0788,-0.07638,0.56773,2,1,1,1,1,1
2022-01-21,-1.34277,-1.89805,0.41883,0.11893,-0.75197,2.83016,-0.04219,-0.84982,-1.03767,-1.0,-1.13065,3.8125,-0.89,-0.84,0.24,-1.28,0.83,2.75,2.66,0.72,0.36,-1.3,-1.09,-3.25,-1.1,-2.31,-2.29,4.65,7.3,-0.07,-0.63,-0.9,-0.58,-1.94,-1.24,0.14,-0.72,-1.33,-1.14,-1.43,-2.37,-0.51,-1.29,-0.21,-1.41,-1.25,-0.98,-1.13,-1.65,-0.07246,0.00577,-0.01555,0.06585,0.02248,-3.11843,-59.4522,1.29984,-2.17442,-0.30079,-4.08721,1.39716,-0.94233,-1.04538,-1.0,-1.61905,-2.6383,-1.8465,-1.82365,0.01045,-2.40037,0.15668,-1.47208,1.56366,-0.05446,-0.02264,-2.4325,-2.11102,-6.23759,-2.06692,-3.41333,-1.81644,26.76056,12.28609,1.72071,-2.26818,-1.5507,-1.02181,-3.71318,-2.3255,0.60243,-0.04544,-2.68479,-1.3258,-1.64035,-4.55448,-1.25981,-2.45512,-1.43863,-2.57314,-2.28478,-1.73506,-2.16957,-4.73637,-0.10238,-0.03194,-0.08394,0.00288,0.83232,3,0,0,0,0,0
