,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,open,high,low,close,vol,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,weekday,value,close_cr_5,r_open_high_5,close_cr_1,r_open_high_1
2022-01-11,-0.32406496062992124,-0.3888888888888889,0.08672659968270756,-4.214397496087637,-4.905963302752293,-0.9108479651558459,-0.8704590256265841,-1.0,0.27505827505827507,-1.0,-0.730890999547716,6.852713178294573,0.008291873963515755,0.0065252854812398045,0.010067114093959731,-0.003278688524590164,-0.41352138156847007,0.51,0.49,1.41,1.43,0.92,0.92,0.04,-0.79,-0.39,-0.5,-1.1,28.28,-1.07,0.02,-0.48,1.84,-5.1,3.82,0.0,0,0,1,0,1
2022-01-13,0.9076582558654271,0.25921574386840945,1.708508845829823,1.4553091397849462,-4.2451923076923075,0.3076181292189007,-1.2664277180406214,-1.0,0.10588235294117647,1.0,-1.282122905027933,-0.8631578947368421,0.0,0.008223684210526315,0.011824324324324325,0.018333333333333333,-0.133323069817566,-0.49,-0.47,-2.51,-2.5,-1.42,-1.36,-1.28,-2.11,-0.14,-2.92,-3.03,0.0,-0.82,-0.35,0.02,-2.29,15.27,-0.63,2.0,0,1,1,1,1
2022-01-14,-0.4939434724091521,0.36050851411243295,-1.037402799377916,-1.368961270015054,-0.9748148148148148,-1.5405604719764012,24.04932735426009,-11.5,12.042553191489361,-1.0,-2.1683168316831685,-13.461538461538462,0.033277870216306155,0.03099510603588907,0.02003338898163606,0.0032733224222585926,0.6028855927603596,-0.56,-0.54,0.59,0.68,0.08,0.06,2.34,3.98,0.41,5.43,8.27,5.74,-1.21,-1.36,0.33,2.33,-5.51,2.07,3.0,0,0,1,0,0
2022-01-18,-0.7359834897548032,-0.11290322580645161,-0.6747643808904777,-1.1581423895253682,-0.03764054098093531,-1.0689099695722213,-12.162011173184357,-12.056603773584905,-0.8452648475120386,-0.5439739413680782,10.243243243243244,-0.1388888888888889,-0.014827018121911038,-0.02287581699346405,-0.025167785234899327,-0.021739130434782608,-0.19446324406200652,-1.51,-1.58,-2.6,-2.45,-1.83,-1.84,-0.58,-0.3,0.58,3.67,4.3,1.79,-1.46,-0.89,0.23,-4.44,18.76,2.08,0.0,0,0,0,0,0
2022-01-19,1.4965568583659037,-2.230909090909091,0.03684736447664252,-2.511642949547219,-0.4143244158482899,-2.3376623376623376,-0.8986486486486487,-0.9982935153583617,1.8278008298755186,0.5928571428571429,-0.4030448717948718,11.0,-0.015050167224080268,-0.015050167224080268,-0.022375215146299483,-0.022222222222222223,0.2468893778755751,-0.96,-0.99,-1.15,-1.13,-0.97,-1.03,-0.67,-4.11,-0.23,-1.14,0.43,21.13,-1.06,-0.77,-0.38,-3.09,4.65,1.79,1.0,0,0,1,0,1
2022-01-20,-0.8274191143581333,4.266089892382359,-3.6510059029032647,-2.2704321780059904,-1.8768430182133564,-21.759223300970874,-15.195061728395062,-425.0,-0.9911958914159942,-1.0,-1.8442953020134227,-0.9838709677419355,-0.04753820033955857,-0.01697792869269949,-0.01584507042253521,-0.005244755244755245,-0.05999058803396864,-0.89,-0.84,-1.3,-1.28,-1.1,-1.09,0.83,2.75,0.23,-2.31,-2.29,4.65,2.66,0.72,0.36,-3.25,7.3,-0.07,2.0,0,1,1,1,1
2022-01-25,-0.5757241379310345,-3.3649732620320854,-1.3761239716854792,-6.431405656395103,0.48801128349788436,-0.0099882491186839,-1.027749077490775,1.0,1.0110803324099722,-1.0,-1.0608108108108107,4.217391304347826,-0.008849557522123894,-0.0017667844522968198,-0.017985611510791366,-0.026595744680851064,-0.029808749175643,-0.19,-0.2,-2.28,-2.48,-1.22,-1.24,1.5,2.24,0.03,0.0,5.8,13.53,-2.84,-2.56,0.06,-3.71,4.21,2.75,0.0,0,0,0,0,0
2022-01-26,0.8305158214130905,0.25588844921801396,-0.6207188877585622,-0.8730084712831274,-0.4957345971563981,-1.0925816023738872,-0.3829787234042553,0.45564516129032256,-0.9442148760330579,-0.021739130434782608,-148.5,-1.0666666666666667,-0.025,-0.033628318584070796,-0.027472527472527472,-0.029143897996357013,0.35767208954547514,-0.38,-0.38,0.02,0.13,-0.15,-0.17,-0.12,0.15,0.49,5.44,12.57,3.63,-0.83,-0.41,0.06,1.68,2.57,2.04,1.0,0,1,1,1,1
2022-01-27,-1.505564764385508,-1.5978244561140285,-2.657130084935181,-0.019583843329253364,-4.400375939849624,-16.891025641025642,3.4310344827586206,-0.06925207756232687,10.777777777777779,-1.9777777777777779,-0.9977401129943503,-1.125,-0.020146520146520148,-0.003663003663003663,0.003766478342749529,0.01125703564727955,-0.3631038309732224,-0.02,-0.04,-1.4,-1.21,-0.54,-0.55,1.52,3.11,0.85,-3.72,2.75,2.5,-3.73,-3.5,0.56,-4.78,-4.6,-0.85,2.0,0,0,1,0,1
2022-01-28,-9.455035128805621,-2.631948801606224,5.299433504181279,-1.4300873907615481,-3.2365948037589827,0.9148850342880194,-3.2568093385214008,-2.0639880952380953,1.5545073375262055,-1.7272727272727273,20.5,125.0,-0.014953271028037384,-0.011029411764705883,-0.039399624765478425,-0.04452690166975881,0.5725253848673436,1.65,1.62,3.13,3.19,2.43,2.44,-1.0,-0.89,0.02,-1.36,-1.34,-7.32,2.78,1.87,0.48,1.83,-9.28,0.24,3.0,0,1,1,1,1
