,date,open,high,low,close,close_cr,vol
0,2021-12-27,196500,198500,193000,194500,-1.02,838454
1,2021-12-28,195000,196500,192500,194000,-0.26,824819
2,2021-12-29,196000,198500,192500,197000,1.55,858530
3,2021-12-30,196500,198000,194000,197500,0.25,468027
4,2022-01-03,198500,199000,193000,194500,-1.52,435017
5,2022-01-04,195000,196000,190500,192000,-1.29,535381
6,2022-01-05,191000,191000,187000,190000,-1.04,828739
7,2022-01-06,186500,189000,181000,181500,-4.47,998336
8,2022-01-07,183000,189000,182000,187500,3.31,680784
9,2022-01-10,185500,187000,179500,181000,-3.47,550436
10,2022-01-11,181000,184000,179500,181500,0.28,426856
11,2022-01-12,184500,185500,181500,184500,1.65,434815
12,2022-01-13,184500,187000,182500,183000,-0.81,530633
13,2022-01-14,181000,193000,181000,188000,2.73,1451974
14,2022-01-17,189500,189500,183000,184000,-2.13,578676
15,2022-01-18,186500,194500,186000,191500,4.08,1461065
16,2022-01-19,189000,193000,185500,187500,-2.09,846132
17,2022-01-20,187000,190000,185000,188500,0.53,589290
18,2022-01-21,186000,186500,179000,181000,-3.98,953713
19,2022-01-24,179500,184000,178500,182500,0.83,596991
20,2022-01-25,183500,184000,176000,177500,-2.74,834205
21,2022-01-26,179500,180500,175000,175500,-1.13,488251
22,2022-01-27,177500,179500,171000,171500,-2.28,871849
23,2022-01-28,173000,179000,171500,178000,3.79,705865
24,2022-02-03,181000,182000,175000,175000,-1.69,775884
25,2022-02-04,174500,176000,168500,173000,-1.14,853241
26,2022-02-07,172500,173000,167000,168000,-2.89,806039
27,2022-02-08,169000,170000,165500,167000,-0.6,508033
28,2022-02-09,169500,173500,169000,171000,2.4,606412
29,2022-02-10,173500,174000,170500,171000,0.0,592541
30,2022-02-11,168000,170000,167000,168000,-1.75,480635
31,2022-02-14,165000,167500,162500,162500,-3.27,533109
32,2022-02-15,163000,165000,160500,162500,0.0,314026
33,2022-02-16,166500,167500,164500,167000,2.77,364518
34,2022-02-17,167000,170000,163500,166000,-0.6,543861
35,2022-02-18,163500,168000,163000,167000,0.6,279915
36,2022-02-21,164000,167500,161500,167500,0.3,395310
37,2022-02-22,163500,167000,163500,164500,-1.79,420482
38,2022-02-23,166000,171000,164000,170000,3.34,489144
39,2022-02-24,167000,168000,162500,163000,-4.12,628224
40,2022-02-25,166000,167500,163500,164500,0.92,426781
41,2022-02-28,163500,166000,162500,166000,0.91,420816
42,2022-03-02,165000,167000,164000,165000,-0.6,324874
43,2022-03-03,167000,170500,166000,170500,3.33,468608
44,2022-03-04,170000,170500,164500,165500,-2.93,553830
45,2022-03-07,161500,161500,155500,156500,-5.44,1247365
46,2022-03-08,152500,159500,152500,156500,0.0,543574
47,2022-03-10,161000,162500,156000,157000,0.32,865598
48,2022-03-11,157500,158500,153000,155500,-0.96,656775
49,2022-03-14,154500,155500,150000,152000,-2.25,727104
50,2022-03-15,150500,153000,150000,151000,-0.66,362803
51,2022-03-16,153500,156000,151500,155500,2.98,551755
52,2022-03-17,160000,162500,159000,160000,2.89,828143
53,2022-03-18,160000,161500,158500,161000,0.63,473641
54,2022-03-21,162000,164000,160500,160500,-0.31,547129
55,2022-03-22,160000,166000,160000,165500,3.12,764237
56,2022-03-23,167000,168000,165000,166000,0.3,608546
57,2022-03-24,164500,166000,163500,164500,-0.9,426875
58,2022-03-25,165500,166000,163000,163500,-0.61,326849
59,2022-03-28,161500,164500,160500,163500,0.0,297450
60,2022-03-29,165500,166000,162500,163000,-0.31,335244
61,2022-03-30,166000,168500,165500,166500,2.15,626386
62,2022-03-31,166500,167000,165000,165000,-0.9,378523
63,2022-04-01,163500,163500,160500,161500,-2.12,597836
64,2022-04-04,161500,162500,160000,161500,0.0,273280
65,2022-04-05,162500,164500,162000,162500,0.62,345330
66,2022-04-06,160000,161500,158000,158500,-2.46,504147
67,2022-04-07,157000,158500,155000,155500,-1.89,480079
68,2022-04-08,156500,158000,155000,157500,1.29,355229
69,2022-04-11,156500,159000,155000,156000,-0.95,322781
70,2022-04-12,155500,156500,154000,155000,-0.64,352536
71,2022-04-13,156000,160500,155000,160000,3.23,396560
72,2022-04-14,160500,161000,158000,159000,-0.63,429650
73,2022-04-15,157500,158000,156000,157000,-1.26,281541
74,2022-04-18,156000,158500,155500,157000,0.0,211857
75,2022-04-19,158500,160000,156500,157000,0.0,404194
76,2022-04-20,157500,162000,156000,160500,2.23,501476
77,2022-04-21,162000,169500,162000,168500,4.98,1704278
78,2022-04-22,169000,171500,167500,167500,-0.59,1049261
79,2022-04-25,164500,167500,163000,163000,-2.69,685975
80,2022-04-26,165000,165500,162000,162500,-0.31,453383
81,2022-04-27,158500,161500,158000,159500,-1.85,706485
82,2022-04-28,162000,164500,161000,162000,1.57,600623
83,2022-04-29,163500,167500,163000,166000,2.47,666919
84,2022-05-02,163500,170000,163500,168500,1.51,503144
85,2022-05-03,168500,169000,166000,166500,-1.19,360251
86,2022-05-04,167500,168000,164500,166000,-0.3,354903
87,2022-05-06,163000,164500,162000,163500,-1.51,318461
88,2022-05-09,162000,163500,160000,160500,-1.83,370590
89,2022-05-10,157500,161500,156500,160500,0.0,453923
90,2022-05-11,159500,160500,158000,160000,-0.31,300495
