,date,open,high,low,close,close_change,volume
0,2021-03-18,130000,169000,130000,169000,39000,876189
1,2021-03-19,184000,190000,166000,166500,-2500,12468903
2,2021-03-22,161000,162500,143000,144000,-22500,4675116
3,2021-03-23,147000,149500,138000,140500,-3500,2980953
4,2021-03-24,138000,142000,135500,136500,-4000,1707179
5,2021-03-25,138500,140000,135500,136000,-500,1111829
6,2021-03-26,136500,138000,131500,132000,-4000,1157841
7,2021-03-29,132000,132500,123500,123500,-8500,1412312
8,2021-03-30,126500,129500,124500,126500,3000,1269769
9,2021-03-31,124500,125500,120000,120500,-6000,1016714
10,2021-04-01,120500,122500,116000,119000,-1500,1010819
11,2021-04-02,119500,121500,116500,117500,-1500,741222
12,2021-04-05,118500,120000,117500,118000,500,445890
13,2021-04-06,119000,119500,115000,115500,-2500,533232
14,2021-04-07,115500,116500,113500,114500,-1000,398724
15,2021-04-08,114000,127500,111500,125500,11000,2546750
16,2021-04-09,126000,135000,125500,130500,5000,1855029
17,2021-04-12,132500,134500,127500,132000,1500,833695
18,2021-04-13,140000,143000,136500,137500,5500,1445824
19,2021-04-14,138500,139500,132000,135500,-2000,701152
20,2021-04-15,133500,134000,129000,130000,-5500,854852
21,2021-04-16,129000,135500,128500,132000,2000,988627
22,2021-04-19,128500,142000,128000,140500,8500,3002561
23,2021-04-20,139500,144000,138000,139500,-1000,903286
24,2021-04-21,138500,151000,137000,149500,10000,2251136
25,2021-04-22,149000,150500,144000,145000,-4500,999904
26,2021-04-23,145500,153000,145000,150500,5500,1293946
27,2021-04-26,157000,163500,151000,153000,2500,1865436
28,2021-04-27,160000,160500,154000,156500,3500,1240108
29,2021-04-28,163500,166000,158500,163500,7000,1697376
30,2021-04-29,157500,160500,146000,150500,-13000,1864655
31,2021-04-30,150500,156000,144500,152000,1500,929682
32,2021-05-03,149500,153500,145000,149500,-2500,622010
33,2021-05-04,149500,159000,145500,158500,9000,1322862
34,2021-05-06,158500,162000,156000,160000,1500,736791
35,2021-05-07,161500,162000,156000,160500,500,584869
36,2021-05-10,160500,162500,159000,161500,1000,472799
37,2021-05-11,158500,159000,150500,151500,-10000,880658
38,2021-05-12,148000,152500,143000,144000,-7500,725156
39,2021-05-13,139000,149000,138000,145500,1500,538925
40,2021-05-14,149000,150000,143000,146000,500,360255
41,2021-05-17,151500,160000,151000,159500,13500,1262922
42,2021-05-18,160500,167500,159000,159500,0,949512
43,2021-05-20,162500,163000,157500,161500,2000,387172
44,2021-05-21,162500,163000,158500,161500,0,374203
45,2021-05-24,171000,171500,162500,163000,1500,1004702
46,2021-05-25,165000,166000,158000,160500,-2500,450900
47,2021-05-26,159500,160500,156500,157500,-3000,361996
48,2021-05-27,157000,157500,151500,154500,-3000,432929
49,2021-05-28,155000,158000,154500,155000,500,251867
50,2021-05-31,155500,156500,150000,152000,-3000,367342
51,2021-06-01,152500,153000,148000,149000,-3000,349352
52,2021-06-02,148500,150500,147000,148000,-1000,225350
53,2021-06-03,152000,157000,150500,155500,7500,544525
54,2021-06-04,156000,157000,152000,156000,500,285682
55,2021-06-07,157000,157000,152000,153500,-2500,236788
56,2021-06-08,156500,157500,153000,155000,1500,415702
57,2021-06-09,154000,156000,152000,155500,500,232911
58,2021-06-10,156000,160500,154000,156500,1000,754943
59,2021-06-11,154500,158500,152500,157000,500,373697
60,2021-06-14,159000,161000,157500,159000,2000,345361
61,2021-06-15,162000,163500,160000,162000,3000,494556
62,2021-06-16,160500,164000,159500,162500,500,362967
63,2021-06-17,161000,162000,158500,160000,-2500,341194
64,2021-06-18,152500,153500,148500,152500,-7500,2069265
65,2021-06-21,153000,154500,151000,154000,1500,631043
66,2021-06-22,154500,155000,151500,152000,-2000,412542
67,2021-06-23,152000,152500,148500,151500,-500,639128
68,2021-06-24,152500,153500,150500,151500,0,598847
69,2021-06-25,154000,154500,152000,153000,1500,423610
70,2021-06-28,153000,160000,151500,159000,6000,1299797
71,2021-06-29,161000,162500,156500,158000,-1000,832903
72,2021-06-30,158500,159000,155000,158500,500,536872
73,2021-07-01,158500,159000,156500,158500,0,324253
74,2021-07-02,159500,165000,159000,164500,6000,1312887
75,2021-07-05,167000,173000,163500,168000,3500,1453005
76,2021-07-06,166500,170500,163000,164500,-3500,761475
77,2021-07-07,164500,166500,161500,165000,500,600723
78,2021-07-08,162500,165500,156500,157500,-7500,949088
79,2021-07-09,157500,163000,157000,160500,3000,732358
80,2021-07-12,159500,160000,155500,155500,-5000,547174
81,2021-07-13,156000,157500,152500,154500,-1000,380561
82,2021-07-14,155000,156000,152500,155000,500,278841
83,2021-07-15,156000,156500,153500,154500,-500,267134
84,2021-07-16,154000,160000,151500,158500,4000,491475
85,2021-07-19,158000,159500,155500,156500,-2000,299983
86,2021-07-20,157000,160500,156500,160500,4000,528400
87,2021-07-21,159000,159500,156000,156000,-4500,332405
88,2021-07-22,156000,157000,154000,156000,0,302350
89,2021-07-23,156000,158500,154500,157500,1500,288030
90,2021-07-26,158500,159500,156500,157500,0,319109
91,2021-07-27,158500,166000,158000,162500,5000,783086
92,2021-07-28,162000,166500,160000,166000,3500,683353
93,2021-07-29,167000,171000,164500,171000,5000,760852
94,2021-07-30,171000,176000,167500,170500,-500,1001088
95,2021-08-02,172000,197000,171500,197000,26500,4083603
96,2021-08-03,202500,206500,191500,204000,7000,2863342
97,2021-08-04,200000,212500,199000,210500,6500,1612277
98,2021-08-05,216500,231000,202000,208000,-2500,4181416
99,2021-08-06,212000,245000,208500,244500,36500,4194389
100,2021-08-09,236500,240500,230000,232500,-12000,2285222
101,2021-08-10,239500,302000,238500,301500,69000,14696217
102,2021-08-11,303000,308500,284000,300000,-1500,6300899
103,2021-08-12,293000,304500,279500,285500,-14500,3693620
104,2021-08-13,281500,294500,274500,288500,3000,2932789
105,2021-08-17,289000,362000,285000,319000,30500,12104835
106,2021-08-18,328500,345500,315000,321000,2000,3678678
107,2021-08-19,316500,341000,313000,335500,14500,3289002
108,2021-08-20,332000,335000,307000,330500,-5000,1991352
109,2021-08-23,330000,334500,315000,323500,-7000,1188632
110,2021-08-24,323000,328000,299000,304000,-19500,1531961
111,2021-08-25,291500,296500,278000,280000,-24000,2029857
112,2021-08-26,273000,286000,268000,286000,6000,1655691
