date,retail,retail_cr,retail_days,foreigner,foreigner_cr,foreigner_days,institution,institution_cr,institution_days,financial,financial_cr,financial_days,invtrust,invtrust_cr,invtrust_days,pension,pension_cr,pension_days,privequity,privequity_cr,privequity_days,bank,bank_cr,bank_days,insurance,insurance_cr,insurance_days,financeetc,financeetc_cr,financeetc_days,corporateetc,corporateetc_cr,corporateetc_days,foreigneretc,foreigneretc_cr,foreigneretc_days,rc1_pcr,rc2_pcr,rc3_pcr,rc4_pcr,open,high,low,close,close_cr,vol,vol_cr,high_time,low_time
2020-01-01,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-02,5560.0,,,923.0,,,-6285.0,,,-4659.0,,,-2096.0,,,1375.0,,,-187.0,,,48.0,,,-779.0,,,13.0,,,-194.0,,,-3.0,,,,,,,93800.0,93900.0,92400.0,92500.0,-1.39,41620.0,,,
2020-01-03,8622.0,,,864.0,,,-9760.0,,,-7244.0,,,165.0,,,-1824.0,,,66.0,,,-6.0,,,-928.0,,,11.0,,,202.0,,,72.0,,,,,,,92500.0,93200.0,92500.0,92500.0,0.0,31176.0,,,
2020-01-04,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-05,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-06,2098.0,,,2879.0,,,-5116.0,,,-4026.0,,,202.0,,,-1487.0,,,-38.0,,,0.0,,,313.0,,,-80.0,,,149.0,,,-10.0,,,,,,,92500.0,93100.0,92400.0,92700.0,0.22,24494.0,,,
2020-01-07,5307.0,,,-2864.0,,,-2085.0,,,-519.0,,,-418.0,,,-800.0,,,-160.0,,,0.0,,,-188.0,,,0.0,,,-352.0,,,-7.0,,,,,,,92600.0,93300.0,92600.0,93000.0,0.32,22589.0,,,
2020-01-08,3130.0,,,1605.0,,,-4946.0,,,-5018.0,,,-739.0,,,1401.0,,,-397.0,,,1.0,,,-165.0,,,-29.0,,,219.0,,,-8.0,,,,,,,92300.0,92500.0,91200.0,91800.0,-1.29,40563.0,,,
2020-01-09,1789.0,,,-3056.0,,,1248.0,,,821.0,,,-562.0,,,-72.0,,,-38.0,,,-2.0,,,1101.0,,,0.0,,,25.0,,,-6.0,,,,,,,91700.0,93200.0,91700.0,92700.0,0.98,51346.0,,,
2020-01-10,-9596.0,,,12413.0,,,-2735.0,,,-7536.0,,,1232.0,,,2977.0,,,548.0,,,8.0,,,38.0,,,-2.0,,,-84.0,,,3.0,,,,,,,92600.0,94800.0,92600.0,94700.0,2.16,42503.0,,,
2020-01-11,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-12,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-13,918.0,,,1220.0,,,-2149.0,,,-1484.0,,,114.0,,,-1338.0,,,213.0,,,85.0,,,261.0,,,0.0,,,2.0,,,9.0,,,,,,,94200.0,94700.0,93800.0,94100.0,-0.63,30257.0,,,
2020-01-14,-209.0,,,3515.0,,,-3675.0,,,-1215.0,,,-593.0,,,-1005.0,,,-458.0,,,37.0,,,-441.0,,,0.0,,,371.0,,,-2.0,,,,,,,94000.0,94300.0,93200.0,94100.0,0.0,32734.0,,,
2020-01-15,800.0,,,2238.0,,,-3076.0,,,-1782.0,,,-922.0,,,-1224.0,,,611.0,,,-173.0,,,432.0,,,-17.0,,,45.0,,,-8.0,,,,,,,93600.0,94300.0,93500.0,94100.0,0.0,21692.0,,,
2020-01-16,-1733.0,,,-757.0,,,2892.0,,,3264.0,,,-505.0,,,430.0,,,-136.0,,,-10.0,,,-112.0,,,-40.0,,,-401.0,,,0.0,,,,,,,93800.0,94300.0,93600.0,94300.0,0.21,30697.0,,,
2020-01-17,582.0,,,3404.0,,,-4128.0,,,-516.0,,,329.0,,,-4046.0,,,575.0,,,0.0,,,-616.0,,,146.0,,,122.0,,,20.0,,,,,,,93900.0,94700.0,93800.0,94000.0,-0.32,33178.0,,,
2020-01-18,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-19,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
