date,retail,retail_cr,retail_days,foreigner,foreigner_cr,foreigner_days,institution,institution_cr,institution_days,financial,financial_cr,financial_days,invtrust,invtrust_cr,invtrust_days,pension,pension_cr,pension_days,privequity,privequity_cr,privequity_days,bank,bank_cr,bank_days,insurance,insurance_cr,insurance_days,financeetc,financeetc_cr,financeetc_days,corporateetc,corporateetc_cr,corporateetc_days,foreigneretc,foreigneretc_cr,foreigneretc_days,rc1_pcr,rc2_pcr,rc3_pcr,rc4_pcr,open,high,low,close,close_cr,vol,vol_cr,high_time,low_time
2020-01-01,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-02,152706.0,,,-30775.0,,,-130414.0,,,-137409.0,,,-670.0,,,-2380.0,,,3382.0,,,498.0,,,2928.0,,,3238.0,,,7001.0,,,1481.0,,,,,,,55500.0,56000.0,55000.0,55200.0,-1.08,719663.0,,,
2020-01-03,66485.0,,,61435.0,,,-123333.0,,,-184098.0,,,20474.0,,,14179.0,,,19024.0,,,1228.0,,,4347.0,,,1513.0,,,-5131.0,,,543.0,,,,,,,56000.0,56600.0,54900.0,55500.0,0.54,860207.0,,,
2020-01-04,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-05,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-06,23110.0,,,42705.0,,,-66329.0,,,-89532.0,,,6226.0,,,10357.0,,,4746.0,,,88.0,,,1465.0,,,321.0,,,210.0,,,304.0,,,,,,,54900.0,55600.0,54600.0,55500.0,0.0,567462.0,,,
2020-01-07,-722.0,,,-3195.0,,,2972.0,,,7472.0,,,6813.0,,,-10054.0,,,1367.0,,,205.0,,,-2885.0,,,55.0,,,-417.0,,,1362.0,,,,,,,55700.0,56400.0,55600.0,55800.0,0.54,560227.0,,,
2020-01-08,-234778.0,,,242771.0,,,4221.0,,,-62952.0,,,10118.0,,,16864.0,,,21261.0,,,540.0,,,18283.0,,,109.0,,,-11445.0,,,-769.0,,,,,,,56200.0,57400.0,55900.0,56800.0,1.79,1330939.0,,,
2020-01-09,-72445.0,,,216172.0,,,-135036.0,,,-94812.0,,,13171.0,,,-47335.0,,,-9525.0,,,-373.0,,,3716.0,,,121.0,,,-7773.0,,,-919.0,,,,,,,58400.0,58600.0,57400.0,58600.0,3.17,1402997.0,,,
2020-01-10,78806.0,,,96290.0,,,-174670.0,,,-134924.0,,,-10680.0,,,2563.0,,,-25524.0,,,-42.0,,,-6212.0,,,149.0,,,-768.0,,,342.0,,,,,,,58800.0,59700.0,58300.0,59500.0,1.54,945371.0,,,
2020-01-11,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-12,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-13,4660.0,,,84833.0,,,-90332.0,,,-73734.0,,,-3653.0,,,-7377.0,,,-8204.0,,,271.0,,,1323.0,,,1041.0,,,534.0,,,305.0,,,,,,,59600.0,60000.0,59100.0,60000.0,0.84,677776.0,,,
2020-01-14,60503.0,,,20095.0,,,-100968.0,,,-91327.0,,,-12632.0,,,29427.0,,,-17587.0,,,445.0,,,-9562.0,,,269.0,,,19686.0,,,685.0,,,,,,,60400.0,61000.0,59900.0,60000.0,0.0,1021498.0,,,
2020-01-15,157764.0,,,-176292.0,,,14294.0,,,-25533.0,,,2883.0,,,35123.0,,,-15096.0,,,-673.0,,,17731.0,,,-139.0,,,3932.0,,,301.0,,,,,,,59500.0,59600.0,58900.0,59000.0,-1.67,846498.0,,,
2020-01-16,-28748.0,,,67923.0,,,-40087.0,,,-56903.0,,,-5641.0,,,20321.0,,,3063.0,,,-131.0,,,-480.0,,,-315.0,,,572.0,,,340.0,,,,,,,59100.0,60700.0,59000.0,60700.0,2.88,862500.0,,,
2020-01-17,9652.0,,,60582.0,,,-78014.0,,,-62420.0,,,-13898.0,,,3273.0,,,8881.0,,,1069.0,,,-16040.0,,,1121.0,,,6674.0,,,1106.0,,,,,,,61900.0,62000.0,61000.0,61300.0,0.99,984567.0,,,
2020-01-18,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-19,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-20,-5445.0,,,-13615.0,,,14078.0,,,8479.0,,,-37376.0,,,38040.0,,,1995.0,,,12033.0,,,-9465.0,,,372.0,,,4920.0,,,61.0,,,,,,,62000.0,62800.0,61700.0,62400.0,1.79,781048.0,,,
2020-01-21,123547.0,,,-56016.0,,,-77217.0,,,-5427.0,,,-35650.0,,,-10366.0,,,-10230.0,,,601.0,,,-13102.0,,,-3044.0,,,8775.0,,,912.0,,,,,,,62000.0,62400.0,61200.0,61400.0,-1.6,686991.0,,,
2020-01-22,-107263.0,,,8591.0,,,101177.0,,,98946.0,,,2761.0,,,16083.0,,,-12537.0,,,2162.0,,,-3210.0,,,-3029.0,,,-1938.0,,,-567.0,,,,,,,60500.0,62600.0,60400.0,62300.0,1.47,943882.0,,,
2020-01-23,246506.0,,,-138381.0,,,-116500.0,,,-99366.0,,,5706.0,,,-19686.0,,,-2260.0,,,1548.0,,,-3103.0,,,660.0,,,6016.0,,,2360.0,,,,,,,61800.0,61800.0,60700.0,60800.0,-2.41,912319.0,,,
2020-01-24,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
