,date,sox,open,high,low,volume,sox_cr
0,2021-12-27,4039.510009765625,3945.989990234375,4040.6298828125,3945.989990234375,0,nan%
1,2021-12-28,3992.18994140625,4052.830078125,4054.989990234375,3977.719970703125,0,-1.17%
2,2021-12-29,3999.35009765625,3995.4599609375,4023.989990234375,3979.18994140625,0,0.18%
3,2021-12-30,3952.0400390625,3996.43994140625,4008.68994140625,3945.760009765625,0,-1.18%
4,2021-12-31,3946.169921875,3960.4599609375,3987.550048828125,3944.820068359375,0,-0.15%
5,2022-01-03,4027.219970703125,3974.31005859375,4027.89990234375,3961.2900390625,0,2.05%
6,2022-01-04,4009.0,4045.3701171875,4068.14990234375,3918.409912109375,0,-0.45%
7,2022-01-05,3879.8701171875,3988.60009765625,4020.5,3876.840087890625,0,-3.22%
8,2022-01-06,3909.0400390625,3872.39990234375,3926.989990234375,3839.080078125,0,0.75%
9,2022-01-07,3796.320068359375,3912.18994140625,3917.820068359375,3786.429931640625,0,-2.88%
10,2022-01-10,3805.389892578125,3738.18994140625,3810.300048828125,3676.77001953125,0,0.24%
11,2022-01-11,3875.43994140625,3785.580078125,3879.0,3767.820068359375,0,1.84%
12,2022-01-12,3901.2099609375,3915.610107421875,3937.9599609375,3866.14990234375,0,0.66%
13,2022-01-13,3811.840087890625,3971.169921875,3992.22998046875,3801.429931640625,0,-2.29%
14,2022-01-14,3900.610107421875,3783.10009765625,3903.050048828125,3783.10009765625,0,2.33%
15,2022-01-18,3727.239990234375,3840.780029296875,3840.949951171875,3720.159912109375,0,-4.44%
16,2022-01-19,3612.18994140625,3763.25,3777.89990234375,3610.47998046875,0,-3.09%
17,2022-01-20,3494.75,3638.14990234375,3666.6201171875,3493.10009765625,0,-3.25%
18,2022-01-21,3434.7900390625,3466.18994140625,3567.10009765625,3429.8798828125,0,-1.72%
19,2022-01-24,3479.949951171875,3363.39990234375,3483.489990234375,3257.4599609375,0,1.31%
20,2022-01-25,3350.85009765625,3387.93994140625,3432.2099609375,3335.699951171875,0,-3.71%
21,2022-01-26,3407.0,3447.31005859375,3540.52001953125,3357.110107421875,0,1.68%
22,2022-01-27,3244.0,3422.909912109375,3422.909912109375,3236.199951171875,0,-4.78%
23,2022-01-28,3303.39990234375,3237.489990234375,3304.169921875,3147.47998046875,0,1.83%
24,2022-01-31,3483.2099609375,3332.1298828125,3484.7099609375,3304.8798828125,0,5.44%
25,2022-02-01,3510.860107421875,3504.659912109375,3515.47998046875,3422.360107421875,0,0.79%
26,2022-02-02,3597.169921875,3578.419921875,3601.219970703125,3526.9599609375,0,2.46%
27,2022-02-03,3432.550048828125,3510.25,3559.199951171875,3425.18994140625,0,-4.58%
28,2022-02-04,3453.070068359375,3420.429931640625,3481.659912109375,3374.5,0,0.60%
29,2022-02-07,3452.330078125,3470.489990234375,3507.530029296875,3440.25,0,-0.02%
30,2022-02-08,3535.1298828125,3443.199951171875,3545.1298828125,3433.85009765625,0,2.40%
31,2022-02-09,3653.719970703125,3590.699951171875,3655.280029296875,3543.719970703125,0,3.35%
32,2022-02-10,3536.10009765625,3569.14990234375,3674.3701171875,3520.52001953125,0,-3.22%
33,2022-02-11,3365.25,3552.72998046875,3568.830078125,3341.780029296875,0,-4.83%
34,2022-02-14,3370.199951171875,3376.1201171875,3433.080078125,3324.550048828125,0,0.15%
35,2022-02-15,3554.449951171875,3439.10009765625,3559.77001953125,3433.0,0,5.47%
36,2022-02-16,3555.68994140625,3511.2099609375,3567.0,3480.8701171875,0,0.03%
37,2022-02-17,3422.60009765625,3509.090087890625,3512.0400390625,3420.85009765625,0,-3.74%
38,2022-02-18,3384.300048828125,3429.419921875,3432.3798828125,3336.0,0,-1.12%
39,2022-02-22,3356.070068359375,3347.219970703125,3436.280029296875,3307.31005859375,0,-0.83%
40,2022-02-23,3277.800048828125,3402.830078125,3430.090087890625,3273.06005859375,0,-2.33%
41,2022-02-24,3399.159912109375,3156.840087890625,3404.2099609375,3152.679931640625,0,3.70%
42,2022-02-25,3452.669921875,3390.9599609375,3454.919921875,3351.929931640625,0,1.57%
43,2022-02-28,3429.530029296875,3415.39990234375,3460.800048828125,3364.080078125,0,-0.67%
44,2022-03-01,3304.85009765625,3419.52001953125,3435.080078125,3274.31005859375,0,-3.64%
