,date,dji,open,high,low,volume,dji_cr
0,2021-12-27,36302.37890625,35954.48046875,36306.609375,35954.48046875,244350000,nan%
1,2021-12-28,36398.2109375,36302.98828125,36527.26171875,36302.98828125,239090000,0.26%
2,2021-12-29,36488.62890625,36421.140625,36571.55078125,36396.19140625,213480000,0.25%
3,2021-12-30,36398.078125,36522.48046875,36679.44140625,36372.12890625,205620000,-0.25%
4,2021-12-31,36338.30078125,36385.8515625,36484.94140625,36303.96875,213200000,-0.16%
5,2022-01-03,36585.05859375,36321.58984375,36595.8203125,36246.44921875,347930000,0.68%
6,2022-01-04,36799.6484375,36636.0,36934.83984375,36636.0,435080000,0.59%
7,2022-01-05,36407.109375,36722.6015625,36952.6484375,36400.390625,462040000,-1.07%
8,2022-01-06,36236.46875,36409.05078125,36464.19140625,36200.6796875,385890000,-0.47%
9,2022-01-07,36231.66015625,36249.58984375,36382.83984375,36111.53125,356110000,-0.01%
10,2022-01-10,36068.87109375,36175.2109375,36175.2109375,35639.91015625,430680000,-0.45%
11,2022-01-11,36252.01953125,36058.8515625,36271.46875,35769.37890625,356850000,0.51%
12,2022-01-12,36290.3203125,36336.16015625,36453.48828125,36168.1484375,310180000,0.11%
13,2022-01-13,36113.62109375,36312.48828125,36513.87890625,36044.21875,343640000,-0.49%
14,2022-01-14,35911.80859375,35996.4296875,35996.4296875,35641.48828125,389200000,-0.56%
15,2022-01-18,35368.46875,35661.76171875,35661.76171875,35262.01953125,427260000,-1.51%
16,2022-01-19,35028.6484375,35412.30078125,35547.828125,35015.48828125,393080000,-0.96%
17,2022-01-20,34715.390625,35102.66015625,35490.19921875,34670.12109375,369070000,-0.89%
18,2022-01-21,34265.37109375,34701.69140625,34896.671875,34229.55078125,523880000,-1.30%
19,2022-01-24,34364.5,34070.609375,34420.98828125,33150.328125,664010000,0.29%
20,2022-01-25,34297.73046875,34186.640625,34591.0390625,33545.51953125,506430000,-0.19%
21,2022-01-26,34168.08984375,34520.8203125,34815.671875,33876.48046875,546330000,-0.38%
22,2022-01-27,34160.78125,34261.75,34773.3203125,34007.78125,527780000,-0.02%
23,2022-01-28,34725.46875,34135.23828125,34731.76953125,33807.51171875,568440000,1.65%
24,2022-01-31,35131.859375,34691.171875,35148.140625,34496.1015625,468070000,1.17%
25,2022-02-01,35405.23828125,35151.46875,35441.08984375,34977.94921875,386080000,0.78%
26,2022-02-02,35629.328125,35378.19140625,35679.19921875,35290.12109375,359540000,0.63%
27,2022-02-03,35111.16015625,35520.078125,35535.94140625,35071.05859375,381020000,-1.45%
