,date,bond_usa_3m,open,high,low,bond_usa_3m_cr
0,2021-12-20,0.076,0.056,0.066,0.043,49.02
1,2021-12-21,0.071,0.091,0.091,0.071,-6.58
2,2021-12-22,0.071,0.089,0.089,0.066,0.0
3,2021-12-23,0.071,0.076,0.091,0.068,0.0
4,2021-12-27,0.056,0.084,0.084,0.053,-21.13
5,2021-12-28,0.061,0.091,0.091,0.061,8.93
6,2021-12-29,0.051,0.091,0.091,0.046,-16.39
7,2021-12-30,0.046,0.061,0.089,0.043,-9.8
8,2021-12-31,0.053,0.051,0.068,0.051,15.22
9,2022-01-03,0.063,0.056,0.076,0.048,18.87
10,2022-01-04,0.086,0.099,0.099,0.089,36.51
11,2022-01-05,0.091,0.089,0.101,0.086,5.81
12,2022-01-06,0.101,0.094,0.117,0.091,10.99
13,2022-01-07,0.096,0.099,0.122,0.094,-4.95
14,2022-01-10,0.099,0.109,0.112,0.096,3.12
15,2022-01-11,0.127,0.122,0.134,0.119,28.28
16,2022-01-12,0.122,0.14,0.14,0.122,-3.94
17,2022-01-13,0.122,0.132,0.14,0.117,0.0
18,2022-01-14,0.129,0.129,0.15,0.122,5.74
19,2022-01-17,0.14,0.14,0.14,0.14,8.14
20,2022-01-18,0.142,0.142,0.17,0.132,1.79
21,2022-01-19,0.172,0.193,0.193,0.172,21.13
22,2022-01-20,0.18,0.172,0.203,0.17,4.65
23,2022-01-21,0.17,0.183,0.211,0.167,-5.56
24,2022-01-24,0.17,0.175,0.205,0.167,0.0
25,2022-01-25,0.193,0.205,0.205,0.193,13.53
26,2022-01-26,0.2,0.205,0.213,0.185,3.63
27,2022-01-27,0.205,0.236,0.236,0.195,2.5
28,2022-01-28,0.19,0.218,0.223,0.188,-7.32
29,2022-01-31,0.185,0.2,0.211,0.183,-2.63
30,2022-02-01,0.216,0.246,0.251,0.208,16.76
31,2022-02-02,0.193,0.208,0.213,0.19,-10.65
32,2022-02-03,0.205,0.208,0.216,0.198,6.22
33,2022-02-04,0.238,0.208,0.246,0.208,16.1
34,2022-02-07,0.223,0.238,0.254,0.218,-6.3
35,2022-02-08,0.284,0.292,0.292,0.276,27.35
36,2022-02-09,0.279,0.292,0.292,0.279,-1.76
37,2022-02-10,0.409,0.284,0.434,0.282,46.59
38,2022-02-11,0.373,0.449,0.469,0.353,-8.8
39,2022-02-14,0.391,0.373,0.439,0.373,4.83
40,2022-02-15,0.416,0.457,0.467,0.414,6.39
41,2022-02-16,0.383,0.439,0.439,0.381,-7.93
42,2022-02-17,0.365,0.421,0.439,0.36,-4.7
43,2022-02-18,0.358,0.37,0.411,0.345,-1.92
44,2022-02-21,0.345,0.36,0.36,0.345,-3.63
45,2022-02-22,0.355,0.36,0.37,0.345,2.9
46,2022-02-23,0.355,0.386,0.411,0.355,0.0
47,2022-02-24,0.322,0.391,0.398,0.307,-9.3
48,2022-02-25,0.348,0.34,0.363,0.327,8.07
49,2022-02-28,0.322,0.343,0.368,0.315,-7.47
50,2022-03-01,0.332,0.408,0.408,0.32,3.11
51,2022-03-02,0.335,0.355,0.375,0.332,0.9
52,2022-03-03,0.365,0.345,0.386,0.335,8.96
53,2022-03-04,0.335,0.375,0.375,0.327,-8.22
54,2022-03-07,0.34,0.332,0.37,0.325,1.49
55,2022-03-08,0.375,0.391,0.408,0.365,10.29
56,2022-03-09,0.381,0.398,0.398,0.37,1.6
57,2022-03-10,0.396,0.388,0.429,0.381,3.94
58,2022-03-11,0.396,0.381,0.416,0.378,0.0
59,2022-03-14,0.424,0.383,0.429,0.383,7.07
60,2022-03-15,0.464,0.472,0.49,0.462,9.43
61,2022-03-16,0.459,0.49,0.49,0.431,-1.08
62,2022-03-17,0.396,0.434,0.477,0.391,-13.73
63,2022-03-18,0.414,0.408,0.431,0.391,4.55
64,2022-03-21,0.492,0.416,0.51,0.396,18.84
65,2022-03-22,0.538,0.563,0.576,0.536,9.35
66,2022-03-23,0.497,0.558,0.569,0.482,-7.62
67,2022-03-24,0.52,0.5,0.543,0.497,4.63
68,2022-03-25,0.538,0.52,0.568,0.52,3.46
69,2022-03-28,0.556,0.518,0.581,0.51,3.35
70,2022-03-29,0.574,0.647,0.686,0.571,3.24
71,2022-03-30,0.538,0.602,0.602,0.53,-6.27
72,2022-03-31,0.52,0.543,0.566,0.515,-3.35
73,2022-04-01,0.528,0.533,0.556,0.52,1.54
74,2022-04-04,0.566,0.528,0.568,0.528,7.2
75,2022-04-05,0.688,0.691,0.714,0.68,21.55
76,2022-04-06,0.688,0.719,0.719,0.675,0.0
77,2022-04-07,0.683,0.683,0.714,0.675,-0.73
78,2022-04-08,0.698,0.711,0.724,0.688,2.2
79,2022-04-11,0.706,0.736,0.736,0.701,1.15
