,date,ixfn,open,high,low,volume,ixfn_cr
0,2021-12-27,12019.9501953125,11896.16015625,12019.9501953125,11882.099609375,192600,nan%
1,2021-12-28,11920.6103515625,11991.169921875,12016.1396484375,11912.9599609375,0,-0.83%
2,2021-12-29,11843.9296875,11909.650390625,11923.41015625,11827.080078125,184100,-0.64%
3,2021-12-30,11937.490234375,11847.41015625,12001.4501953125,11847.259765625,217400,0.79%
4,2021-12-31,11905.9404296875,11917.0595703125,11979.849609375,11905.7998046875,243300,-0.26%
5,2022-01-03,11826.8095703125,11960.1201171875,11969.91015625,11788.5302734375,226100,-0.66%
6,2022-01-04,11746.9501953125,11845.849609375,11891.1904296875,11703.509765625,263100,-0.68%
7,2022-01-05,11390.330078125,11737.650390625,11748.0595703125,11388.91015625,281400,-3.04%
8,2022-01-06,11366.4599609375,11386.3896484375,11419.240234375,11235.0498046875,327600,-0.21%
9,2022-01-07,11351.6396484375,11350.6201171875,11410.8603515625,11279.8203125,283800,-0.13%
10,2022-01-10,11243.1201171875,11247.1298828125,11247.73046875,11078.0595703125,269800,-0.96%
11,2022-01-11,11423.5302734375,11256.0498046875,11429.650390625,11201.330078125,261400,1.60%
12,2022-01-12,11390.6396484375,11468.740234375,11513.0302734375,11372.1796875,254500,-0.29%
13,2022-01-13,11208.4296875,11432.33984375,11440.25,11192.0400390625,244500,-1.60%
14,2022-01-14,11153.41015625,11129.91015625,11156.3095703125,11019.400390625,380200,-0.49%
15,2022-01-18,10996.9404296875,11041.3798828125,11056.830078125,10955.5,310000,-1.40%
16,2022-01-19,10913.830078125,11054.240234375,11075.990234375,10912.419921875,409000,-0.76%
17,2022-01-20,10858.400390625,10985.6796875,11156.099609375,10847.7099609375,520700,-0.51%
18,2022-01-21,10547.4697265625,10779.849609375,10798.419921875,10540.58984375,444900,-2.86%
19,2022-01-24,10561.0302734375,10332.080078125,10569.8701171875,10094.0302734375,542200,0.13%
20,2022-01-25,10452.08984375,10421.8701171875,10577.759765625,10312.0400390625,338300,-1.03%
21,2022-01-26,10307.4599609375,10586.490234375,10636.25,10243.509765625,374900,-1.38%
22,2022-01-27,10168.91015625,10383.9501953125,10425.0,10126.5,348200,-1.34%
23,2022-01-28,10357.25,10146.7802734375,10357.91015625,10019.0703125,412000,1.85%
24,2022-01-31,10681.1904296875,10374.150390625,10682.740234375,10365.740234375,476800,3.13%
25,2022-02-01,10783.259765625,10708.3798828125,10794.4599609375,10589.8798828125,363700,0.96%
26,2022-02-02,10750.2802734375,10800.830078125,10801.8603515625,10680.25,335700,-0.31%
27,2022-02-03,10585.4697265625,10632.9501953125,10700.4296875,10573.6103515625,263300,-1.53%
28,2022-02-04,10707.3701171875,10585.2998046875,10773.23046875,10559.3203125,276100,1.15%
29,2022-02-07,10716.5302734375,10728.330078125,10808.3203125,10694.7099609375,338500,0.09%
30,2022-02-08,10766.5498046875,10687.650390625,10782.2197265625,10641.6103515625,296600,0.47%
31,2022-02-09,11006.91015625,10902.0498046875,11030.4404296875,10893.919921875,288300,2.23%
32,2022-02-10,10803.740234375,10858.7900390625,11066.150390625,10763.099609375,411500,-1.85%
33,2022-02-11,10653.7001953125,10855.25,10887.5703125,10608.759765625,381300,-1.39%
34,2022-02-14,10602.2099609375,10653.5703125,10716.7197265625,10547.169921875,367200,-0.48%
35,2022-02-15,10829.419921875,10727.58984375,10840.0400390625,10727.58984375,402400,2.14%
36,2022-02-16,10886.6904296875,10828.099609375,10914.0703125,10807.849609375,326600,0.53%
37,2022-02-17,10848.5302734375,10878.759765625,10917.08984375,10800.080078125,328200,-0.35%
38,2022-02-18,10689.3203125,10787.7900390625,10850.580078125,10644.1904296875,339400,-1.47%
39,2022-02-22,10547.509765625,10611.580078125,10693.349609375,10493.349609375,341800,-1.33%
40,2022-02-23,10320.4697265625,10562.8896484375,10629.91015625,10318.509765625,318000,-2.15%
41,2022-02-24,10562.2900390625,10021.51953125,10584.509765625,10002.740234375,405500,2.34%
42,2022-02-25,10690.5,10589.23046875,10699.48046875,10471.490234375,334600,1.21%
43,2022-02-28,10687.6103515625,10580.4501953125,10752.5703125,10579.33984375,371500,-0.03%
44,2022-03-01,10546.5703125,10724.150390625,10747.580078125,10503.7001953125,382100,-1.32%
45,2022-03-02,10688.900390625,10606.349609375,10716.0302734375,10561.6298828125,370000,1.35%
46,2022-03-03,10601.2001953125,10726.0,10733.259765625,10560.580078125,326100,-0.82%
47,2022-03-04,10425.330078125,10520.8095703125,10527.98046875,10363.3798828125,311100,-1.66%
48,2022-03-07,10105.3095703125,10412.8896484375,10435.1796875,10103.76953125,352800,-3.07%
49,2022-03-08,10025.01953125,10100.16015625,10222.0703125,9991.0400390625,349200,-0.79%
50,2022-03-09,10343.0703125,10249.2197265625,10401.2900390625,10248.3095703125,331400,3.17%
51,2022-03-10,10251.48046875,10196.2197265625,10262.919921875,10119.080078125,297700,-0.89%
52,2022-03-11,10074.150390625,10324.349609375,10328.7197265625,10069.8095703125,539800,-1.73%
53,2022-03-14,10009.9501953125,10104.6298828125,10157.099609375,9984.7099609375,0,-0.64%
