,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-03,-187,3311,-1858,-4779,-1157,10228,-6223,135,-202,139,-1241,-25
1,2022-01-04,9625,-3620,-4931,-6937,314,4086,-986,36,-1444,2,-1146,72
2,2022-01-05,-8865,46898,-39683,-22233,-822,-5394,-10697,43,-627,47,1355,295
3,2022-01-06,31320,-8099,-26148,-4291,-3010,-13459,-3384,-262,-1779,37,2774,154
4,2022-01-07,-25601,25104,-1242,-9696,2708,2632,1995,101,956,62,1666,73
5,2022-01-10,24749,-30,-25585,-12622,-2427,-2296,-6867,95,-1468,0,681,186
6,2022-01-11,2324,-659,-2021,-2444,1849,3103,-1984,2,-1823,-725,592,-237
7,2022-01-12,6663,-14324,4849,405,2027,623,-100,0,1888,6,2755,56
8,2022-01-13,15412,-7443,-7431,-11992,1854,705,794,0,1207,0,-608,71
9,2022-01-14,-8552,-32934,41897,925,12291,18180,7347,67,2883,204,-387,-25
10,2022-01-17,27958,-26523,-2449,1996,-744,-2615,-1596,67,443,0,931,82
11,2022-01-18,-77650,37157,42840,4516,9044,12423,15631,0,1207,18,-2247,-100
12,2022-01-19,48119,-42568,-5935,-2649,4439,-8755,-644,-76,1683,68,293,91
13,2022-01-20,-3102,1130,89,5078,-323,6230,-11020,0,124,0,1850,34
14,2022-01-21,64333,-25948,-38416,-9628,-1125,-12456,-15618,0,-505,915,-487,517
15,2022-01-24,-13261,-2810,17086,5598,2607,2673,1688,531,3063,926,-889,-127
16,2022-01-25,43815,-25084,-20053,-12284,732,-4720,-3741,27,-104,36,1315,8
17,2022-01-26,12756,-10255,-4046,2091,-280,-3005,-852,0,-1998,-1,1393,152
18,2022-01-27,23916,-27929,3683,1341,744,-1704,3785,-18,-1348,881,265,65
19,2022-01-28,-9125,-13708,22234,1081,4505,8948,3885,0,3822,-7,514,84
20,2022-02-03,30716,-29603,-895,8634,-615,3495,-12203,1,-206,0,-403,185
21,2022-02-04,30304,316,-31119,-722,-11656,-10364,-4178,-54,-4146,0,503,-4
22,2022-02-07,46552,-9674,-38906,-5499,-10255,-9281,-9155,-63,-4602,-52,1771,257
23,2022-02-08,4792,-4230,-436,6650,-2832,-2190,-1708,0,-408,51,-233,107
