,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
0,2022-01-03,2000,-565,-1516,-1564,36,196,-89,0,-96,0,66,15
1,2022-01-04,674,1736,-2386,-2064,-164,-105,-54,0,-2,3,1,-25
2,2022-01-05,5421,-1119,-3158,-1608,-739,-739,-76,0,4,0,-1149,6
3,2022-01-06,-108,643,-155,-679,47,568,-114,0,23,0,-390,10
4,2022-01-07,-16107,6707,8329,246,4157,2172,989,0,752,13,1097,-26
5,2022-01-10,-17395,-540,17799,1755,1497,10733,3192,-121,557,185,468,-333
6,2022-01-11,6806,-11356,3856,652,1284,1451,-49,0,519,0,671,22
7,2022-01-12,-32330,12110,20356,5684,2218,6677,2979,-18,2750,64,-98,-39
8,2022-01-13,588,-8042,7600,516,2858,3767,-182,0,642,0,-200,55
9,2022-01-14,181,-2222,1990,-2089,1682,1134,607,0,687,-30,38,12
10,2022-01-17,908,378,-1514,-134,101,307,-1559,-133,-124,27,202,25
11,2022-01-18,-4356,-641,5040,41,1137,3866,-222,-13,-53,284,-26,-17
12,2022-01-19,-10119,-3169,13565,574,4313,2138,5128,18,1349,45,-284,7
13,2022-01-20,7969,-4691,-3452,435,-1465,-1202,-944,0,-276,0,180,-7
14,2022-01-21,839,4059,-4940,-648,-2201,-1225,-737,1,-130,0,43,-1
15,2022-01-24,1895,-799,-1398,2081,-68,777,-3856,0,-287,-45,317,-15
16,2022-01-25,4630,1261,-5852,-1029,-3101,-107,-1238,0,-363,-14,-8,-32
17,2022-01-26,-61,-907,436,862,-34,-811,-151,0,570,-1,553,-21
18,2022-01-27,8254,-1434,-7116,-786,-1465,-2913,-1671,-132,-133,-15,350,-54
19,2022-01-28,1980,-2402,468,811,-627,-435,617,0,112,-11,-63,18
20,2022-02-03,2212,-2340,-3,321,-427,581,-315,1,-165,0,91,40
21,2022-02-04,134,-1085,975,23,9,781,97,0,64,0,-4,-20
22,2022-02-07,3675,-2912,-858,-1873,642,1025,46,-167,-361,-171,97,-3
23,2022-02-08,-568,-5566,6252,332,2107,3659,56,0,61,37,-87,-31
24,2022-02-09,-17852,-712,18333,801,3803,5743,6090,24,1881,-9,232,-1
25,2022-02-10,197,3081,-2741,-3895,-337,1243,-29,0,276,0,-543,6
26,2022-02-11,26380,-9906,-15837,-1991,-5390,-245,-8562,41,265,44,-674,37
27,2022-02-14,-2509,-105,2655,823,-19,2029,-187,28,-2,-18,-44,3
28,2022-02-15,-2008,-1418,3442,625,1404,807,584,0,22,0,-5,-10
29,2022-02-16,-6274,56,6343,2911,195,2446,-68,21,837,1,-116,-9
30,2022-02-17,-4837,2133,2916,38,1275,946,-295,0,928,23,-200,-13
31,2022-02-18,14821,-7763,-6964,-331,-6261,1191,-964,-185,-330,-84,-136,43
32,2022-02-21,581,-148,-823,-420,237,-318,-172,55,-206,0,395,-6
33,2022-02-22,8796,-4005,-4800,-2125,-991,-1355,-193,-18,-118,0,-11,20
34,2022-02-23,-2506,1104,-215,867,-749,-887,454,23,88,-10,1615,3
35,2022-02-24,2664,273,-2883,-1227,-632,-449,-658,0,119,-37,-54,1
36,2022-02-25,-18598,6552,10046,5063,1073,2834,506,0,533,37,2024,-24
37,2022-02-28,-2665,-469,1120,-1000,443,359,1412,0,-95,0,2002,13
38,2022-03-02,-23351,13757,8053,-194,1832,3080,3148,0,195,-8,1598,-58
39,2022-03-03,4836,-3753,-2211,-3857,878,-1304,1589,0,483,0,1133,-4
40,2022-03-04,-522,-2120,1037,-709,448,506,676,0,116,0,1609,-4
41,2022-03-07,-205,721,-1857,-1610,188,-569,-165,0,298,0,1394,-53
42,2022-03-08,-3780,-2875,4981,-966,1711,1657,784,0,1749,46,1691,-16
43,2022-03-10,-4844,-125,3304,2958,-489,662,-195,156,211,0,1661,3
44,2022-03-11,3679,-1206,-3902,-1080,-567,-2241,5,0,-19,0,1439,-11
45,2022-03-14,-1737,541,-182,64,-600,115,197,28,14,0,1372,7
46,2022-03-15,3318,-2105,-2877,-1035,-540,-857,-188,14,-272,0,1633,30
47,2022-03-16,-2918,-692,2730,1397,564,916,-46,0,-101,0,874,7
48,2022-03-17,-10601,11579,-890,693,14,-1391,-290,90,-6,0,-66,-24
49,2022-03-18,-4422,-2371,6993,-216,-74,7252,24,0,6,0,-146,-54
50,2022-03-21,2341,-1866,-504,-492,111,210,19,0,-334,-18,9,19
51,2022-03-22,-2685,1504,135,1169,-484,-487,-72,20,-10,0,1052,-6
52,2022-03-23,-2926,2936,34,589,26,-101,-244,0,-236,0,-7,-38
53,2022-03-24,4906,621,-5560,-1685,-2068,-433,-1104,0,-270,0,9,24
54,2022-03-25,4455,-1198,-3294,-1374,-187,-1491,-107,0,-135,0,8,29
55,2022-03-28,-371,-216,568,734,-198,-366,-270,0,667,0,-3,21
56,2022-03-29,-1980,614,1304,1114,3,354,-192,0,9,16,96,-34
57,2022-03-30,-2922,1096,2838,2638,-323,268,-136,0,391,0,-1036,23
58,2022-03-31,-8096,4761,3335,1327,318,897,-28,0,820,0,37,-37
59,2022-04-01,3106,-1933,-1218,-3591,1234,751,538,84,-234,0,30,13
60,2022-04-04,325,859,-1379,-402,-595,135,-52,0,-465,0,191,4
61,2022-04-05,1147,836,-2045,-510,-53,-668,18,0,-832,0,59,3
62,2022-04-06,5537,-738,-4519,-1654,-189,-2375,-65,0,-236,0,-305,25
63,2022-04-07,13061,-2896,-10609,-2260,-1130,-5591,-352,-9,-1209,-57,401,44
64,2022-04-08,-208,1873,-1647,512,-1149,-196,-61,-32,-664,-58,-26,8
65,2022-04-11,-7645,7818,-23,253,109,-259,-155,0,50,-22,-125,-26
66,2022-04-12,2050,-3833,1770,-415,122,1749,-151,481,-57,40,22,-9
67,2022-04-13,-2400,4354,-2025,856,-521,450,-1866,0,-976,32,73,-3
68,2022-04-14,421,-255,-457,1969,153,-2491,-381,0,305,-13,289,2
69,2022-04-15,-37,627,-594,-1351,54,480,95,0,127,0,6,-1
70,2022-04-18,317,1247,-1276,-1169,-264,53,-34,280,-142,0,-291,2
71,2022-04-19,1855,-330,-1509,-221,-722,35,-203,0,-399,0,-14,-1
72,2022-04-20,2241,5724,-7692,-1365,-1204,-3843,-980,48,-298,-49,-266,-8
