,date,open,high,low,close,close_cr,vol
0,2021-12-27,223500,231000,221500,224000,0.22,319176
1,2021-12-28,224000,228500,223500,226000,0.89,434368
2,2021-12-29,227000,240000,223000,239000,5.75,681002
3,2021-12-30,239000,246000,233500,238500,-0.21,647228
4,2022-01-03,242000,252500,242000,248000,3.98,594039
5,2022-01-04,248500,255000,247500,253500,2.22,734846
6,2022-01-05,250500,259000,250500,251000,-0.99,568026
7,2022-01-06,244500,254500,244000,247500,-1.39,534275
8,2022-01-07,250000,253000,244500,247000,-0.2,440815
9,2022-01-10,248500,252500,244000,246000,-0.4,270450
10,2022-01-11,246500,248000,236000,241500,-1.83,453993
11,2022-01-12,247500,265000,247000,264500,9.52,1366162
12,2022-01-13,268500,272500,265500,266500,0.76,1036408
13,2022-01-14,261500,268000,260000,263500,-1.13,551059
14,2022-01-17,264000,270000,261500,265000,0.57,465947
15,2022-01-18,265500,278500,263500,272000,2.64,1070047
16,2022-01-19,273000,278000,258000,261500,-3.86,1051785
17,2022-01-20,263500,271000,259000,265500,1.53,847837
18,2022-01-21,261500,263000,246500,252000,-5.08,1052366
19,2022-01-24,246500,251500,243000,247500,-1.79,530746
20,2022-01-25,246500,247500,232000,234500,-5.25,711240
21,2022-01-26,237500,241000,231000,232000,-1.07,484484
22,2022-01-27,233000,235000,213500,215500,-7.11,1298598
23,2022-01-28,212500,221000,199500,216000,0.23,1507157
24,2022-02-03,223000,224500,217000,218500,1.16,663512
25,2022-02-04,218500,229500,218000,228000,4.35,603614
26,2022-02-07,232000,232000,224500,226500,-0.66,503687
27,2022-02-08,227500,227500,212000,213500,-5.74,1086197
28,2022-02-09,215500,216500,212000,215500,0.94,406094
29,2022-02-10,216500,219000,209500,209500,-2.78,620939
30,2022-02-11,205000,211000,205000,207000,-1.19,411624
31,2022-02-14,203000,207000,200500,204500,-1.21,442448
32,2022-02-15,204500,206500,200000,200500,-1.96,336473
33,2022-02-16,206000,209000,203000,203500,1.5,386461
34,2022-02-17,205000,215500,204500,211500,3.93,718513
35,2022-02-18,208500,214000,208000,210500,-0.47,264975
36,2022-02-21,206000,209000,203000,208500,-0.95,249090
37,2022-02-22,203500,207000,200500,201000,-3.6,405623
38,2022-02-23,202500,203500,200500,201500,0.25,300421
39,2022-02-24,199000,202500,192500,195500,-2.98,627644
40,2022-02-25,199500,202000,196000,201000,2.81,357869
41,2022-02-28,201000,204500,199000,200500,-0.25,436808
42,2022-03-02,203500,209000,202500,207500,3.49,444106
43,2022-03-03,218000,221500,211500,212500,2.41,443329
44,2022-03-04,213000,214500,208500,212000,-0.24,310994
